utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545149,2022,12,08,17,19,09,69.960000,80,70.410000,1019,0.000000,0,1670505627,1670542609,100
1670548748,2022,12,08,18,19,08,68.500000,82,68.900000,1020,0.000000,0,1670505627,1670542609,0
1670552348,2022,12,08,19,19,08,66.270000,89,66.780000,1021,0.000000,0,1670505627,1670542609,100
1670555948,2022,12,08,20,19,08,66.160000,91,66.760000,1020,0.000000,0,1670505627,1670542609,100
1670559550,2022,12,08,21,19,10,65.980000,91,66.560000,1021,0.000000,0,1670505627,1670542609,100
1670563148,2022,12,08,22,19,08,66.650000,90,67.240000,1021,3.440000,150,1670505627,1670542609,100
1670566754,2022,12,08,23,19,14,67.210000,90,67.860000,1021,8.050000,170,1670592070,1670629019,100
1670570351,2022,12,09,00,19,11,66.650000,93,67.390000,1020,6.910000,160,1670592070,1670629019,100
1670573948,2022,12,09,01,19,08,66.610000,94,67.390000,1020,8.050000,150,1670592070,1670629019,100
1670577548,2022,12,09,02,19,08,66.070000,97,66.940000,1020,5.750000,160,1670592070,1670629019,100
1670581154,2022,12,09,03,19,14,65.860000,95,66.610000,1020,0.000000,0,1670592070,1670629019,100
1670584748,2022,12,09,04,19,08,65.790000,95,66.520000,1019,3.440000,120,1670592070,1670629019,100
1670588349,2022,12,09,05,19,09,64.670000,96,65.350000,1019,6.910000,160,1670592070,1670629019,75
1670591948,2022,12,09,06,19,08,64.290000,95,64.890000,1020,3.440000,130,1670592070,1670629019,100
1670595565,2022,12,09,07,19,25,64.090000,97,64.760000,1021,4.610000,150,1670592070,1670629019,75
1670599153,2022,12,09,08,19,13,65.280000,95,65.980000,1021,5.750000,150,1670592070,1670629019,40
1670602749,2022,12,09,09,19,09,67.210000,88,67.770000,1021,8.050000,160,1670592070,1670629019,75
1670606353,2022,12,09,10,19,13,69.980000,73,70.110000,1022,6.910000,180,1670592070,1670629019,75
1670609948,2022,12,09,11,19,08,71.960000,70,72.140000,1021,8.050000,190,1670592070,1670629019,100
1670613555,2022,12,09,12,19,15,72.610000,73,73.000000,1019,8.050000,150,1670592070,1670629019,75
1670617151,2022,12,09,13,19,11,73.060000,73,73.490000,1018,8.050000,180,1670592070,1670629019,75
1670620748,2022,12,09,14,19,08,73.270000,73,73.720000,1017,8.050000,180,1670592070,1670629019,100
1670624348,2022,12,09,15,19,08,73.490000,70,73.830000,1017,10.360000,180,1670592070,1670629019,40
1670627948,2022,12,09,16,19,08,71.470000,73,71.740000,1017,6.910000,170,1670592070,1670629019,0
1670631549,2022,12,09,17,19,09,67.950000,81,68.250000,1017,5.750000,150,1670592070,1670629019,0
1670635148,2022,12,09,18,19,08,65.950000,84,66.180000,1017,4.610000,110,1670592070,1670629019,0
1670638748,2022,12,09,19,19,08,64.490000,90,64.870000,1017,6.910000,120,1670592070,1670629019,40
