utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545152,2022,12,08,17,19,12,70.810000,88,71.730000,1021,6.910000,210,1670504227,1670541162,0
1670548750,2022,12,08,18,19,10,67.800000,98,68.880000,1021,5.750000,160,1670504227,1670541162,0
1670552351,2022,12,08,19,19,11,66.760000,98,67.750000,1022,8.050000,180,1670504227,1670541162,0
1670555950,2022,12,08,20,19,10,66.470000,99,67.480000,1022,3.440000,160,1670504227,1670541162,0
1670559495,2022,12,08,21,18,15,65.790000,99,66.720000,1022,3.440000,170,1670504227,1670541162,100
1670563150,2022,12,08,22,19,10,64.720000,98,65.500000,1021,5.750000,160,1670504227,1670541162,0
1670566757,2022,12,08,23,19,17,63.840000,98,64.530000,1021,3.440000,180,1670590669,1670627572,100
1670570295,2022,12,09,00,18,15,63.590000,99,64.310000,1021,0.000000,0,1670590670,1670627572,100
1670573951,2022,12,09,01,19,11,66.330000,98,67.260000,1020,4.610000,200,1670590669,1670627572,100
1670577495,2022,12,09,02,18,15,65.590000,98,66.450000,1020,3.440000,220,1670590670,1670627572,100
1670581157,2022,12,09,03,19,17,65.410000,98,66.250000,1020,3.440000,230,1670590669,1670627572,100
1670584750,2022,12,09,04,19,10,66.510000,100,67.550000,1021,0.000000,0,1670590669,1670627572,100
1670588352,2022,12,09,05,19,12,67.010000,98,68.020000,1020,0.000000,0,1670590669,1670627572,100
1670591951,2022,12,09,06,19,11,67.280000,100,68.410000,1020,0.000000,0,1670590669,1670627572,100
1670595574,2022,12,09,07,19,34,67.140000,100,68.250000,1021,3.440000,190,1670590669,1670627572,100
1670599158,2022,12,09,08,19,18,69.170000,100,70.480000,1021,0.000000,0,1670590669,1670627572,100
1670602752,2022,12,09,09,19,12,70.680000,100,72.160000,1022,3.440000,210,1670590669,1670627572,100
1670606358,2022,12,09,10,19,18,72.190000,97,73.670000,1022,0.000000,0,1670590669,1670627572,100
1670609951,2022,12,09,11,19,11,75.520000,82,76.620000,1021,5.750000,270,1670590669,1670627572,75
1670613558,2022,12,09,12,19,18,78.930000,70,78.930000,1020,6.910000,170,1670590669,1670627572,75
1670617155,2022,12,09,13,19,15,79.740000,68,79.740000,1019,9.220000,200,1670590669,1670627572,75
1670620751,2022,12,09,14,19,11,78.870000,69,78.870000,1019,10.360000,210,1670590669,1670627572,40
1670624351,2022,12,09,15,19,11,78.100000,67,78.760000,1019,9.220000,210,1670590669,1670627572,20
1670627950,2022,12,09,16,19,10,74.320000,75,74.970000,1019,6.910000,210,1670590669,1670627572,0
1670631552,2022,12,09,17,19,12,69.600000,86,70.300000,1019,6.910000,160,1670590669,1670627572,0
1670635150,2022,12,09,18,19,10,66.920000,95,67.780000,1019,5.750000,150,1670590669,1670627572,0
1670638751,2022,12,09,19,19,11,66.290000,98,67.230000,1020,5.750000,150,1670590669,1670627572,0
1670642352,2022,12,09,20,19,12,65.880000,96,66.670000,1020,5.750000,180,1670590669,1670627572,0
1670645882,2022,12,09,21,18,02,65.190000,97,65.970000,1020,6.910000,170,1670590669,1670627571,75
1670649551,2022,12,09,22,19,11,63.770000,99,64.510000,1020,6.910000,160,1670590669,1670627572,100
1670653155,2022,12,09,23,19,15,63.550000,97,64.170000,1020,3.440000,180,1670677111,1670713983,100
1670656751,2022,12,10,00,19,11,62.920000,98,63.520000,1019,3.440000,110,1670677111,1670713983,100
1670660355,2022,12,10,01,19,15,62.460000,98,63.010000,1020,3.440000,100,1670677111,1670713983,100
1670663954,2022,12,10,02,19,14,62.780000,98,63.360000,1020,3.440000,110,1670677111,1670713983,100
1670667555,2022,12,10,03,19,15,63.300000,100,64.040000,1019,4.610000,130,1670677111,1670713983,100
1670671151,2022,12,10,04,19,11,63.790000,98,64.470000,1019,6.910000,120,1670677111,1670713983,100
1670674756,2022,12,10,05,19,16,63.790000,100,64.560000,1019,3.440000,110,1670677111,1670713983,100
1670678353,2022,12,10,06,19,13,65.590000,98,66.450000,1020,6.910000,140,1670677111,1670713983,100
1670681951,2022,12,10,07,19,11,66.900000,98,67.890000,1020,8.050000,130,1670677111,1670713983,100
1670685557,2022,12,10,08,19,17,67.980000,98,69.080000,1021,8.050000,140,1670677111,1670713983,100
1670689151,2022,12,10,09,19,11,69.300000,98,70.540000,1021,9.220000,160,1670677111,1670713983,100
1670692751,2022,12,10,10,19,11,70.930000,97,72.280000,1021,9.220000,180,1670677111,1670713983,100
1670696351,2022,12,10,11,19,11,75.110000,86,76.370000,1019,9.220000,170,1670677111,1670713983,100
1670699952,2022,12,10,12,19,12,77.760000,75,78.760000,1018,12.660000,160,1670677111,1670713983,75
1670703551,2022,12,10,13,19,11,79.250000,71,79.250000,1017,13.800000,160,1670677111,1670713983,75
1670707151,2022,12,10,14,19,11,78.370000,72,79.290000,1017,13.800000,160,1670677111,1670713983,75
1670710751,2022,12,10,15,19,11,76.190000,77,77.130000,1017,16.110000,170,1670677111,1670713983,75
1670714351,2022,12,10,16,19,11,73.900000,83,74.890000,1017,11.500000,190,1670677111,1670713983,40
1670717955,2022,12,10,17,19,15,70.480000,91,71.510000,1017,8.050000,160,1670677111,1670713983,0
1670721552,2022,12,10,18,19,12,70.180000,92,71.220000,1018,5.750000,160,1670677111,1670713983,0
1670725156,2022,12,10,19,19,16,69.960000,93,71.020000,1018,8.050000,150,1670677111,1670713983,75
1670728751,2022,12,10,20,19,11,70.230000,96,71.470000,1018,6.910000,180,1670677111,1670713983,75
1670732351,2022,12,10,21,19,11,68.130000,96,69.150000,1018,16.110000,30,1670677111,1670713983,100
1670735952,2022,12,10,22,19,12,66.520000,95,67.330000,1018,13.800000,80,1670677111,1670713983,100
1670739551,2022,12,10,23,19,11,66.290000,96,67.140000,1017,4.610000,100,1670763552,1670800395,100
1670743152,2022,12,11,00,19,12,68.810000,97,69.940000,1017,8.050000,200,1670763552,1670800395,100
1670746751,2022,12,11,01,19,11,69.370000,96,70.520000,1017,5.750000,200,1670763552,1670800395,75
1670750352,2022,12,11,02,19,12,68.740000,97,69.870000,1016,3.440000,10,1670763552,1670800395,100
1670753954,2022,12,11,03,19,14,67.890000,97,68.940000,1016,8.050000,90,1670763552,1670800395,100
1670757551,2022,12,11,04,19,11,66.160000,96,66.990000,1017,6.910000,310,1670763552,1670800395,100
1670761138,2022,12,11,05,18,58,65.320000,98,66.160000,1018,12.660000,40,1670763553,1670800395,100
1670764753,2022,12,11,06,19,13,64.220000,96,64.850000,1018,11.500000,90,1670763552,1670800395,75
1670768355,2022,12,11,07,19,15,64.260000,96,64.890000,1019,6.910000,340,1670763552,1670800395,75
1670771951,2022,12,11,08,19,11,64.760000,98,65.530000,1020,6.910000,150,1670763552,1670800395,100
1670775552,2022,12,11,09,19,12,65.350000,97,66.150000,1019,5.750000,170,1670763552,1670800395,100
1670779151,2022,12,11,10,19,11,66.450000,94,67.210000,1019,10.360000,150,1670763552,1670800395,100
1670782447,2022,12,11,11,14,07,68.270000,89,68.970000,1017,5.750000,160,1670763553,1670800395,100
1670786353,2022,12,11,12,19,13,70.390000,85,71.130000,1016,3.440000,310,1670763552,1670800395,40
1670789951,2022,12,11,13,19,11,72.660000,80,73.380000,1016,6.910000,20,1670763552,1670800395,40
1670793552,2022,12,11,14,19,12,71.920000,79,72.540000,1016,6.910000,360,1670763552,1670800395,75
1670797151,2022,12,11,15,19,11,71.640000,78,72.160000,1016,4.610000,40,1670763552,1670800395,75
