utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545149,2022,12,08,17,19,09,74.080000,69,74.440000,1019,8.050000,150,1670505397,1670542536,75
1670548748,2022,12,08,18,19,08,72.590000,73,72.990000,1020,8.050000,130,1670505397,1670542536,75
1670552349,2022,12,08,19,19,09,71.330000,76,71.730000,1020,10.360000,120,1670505397,1670542536,40
1670555948,2022,12,08,20,19,08,70.770000,81,71.350000,1020,12.660000,150,1670505397,1670542536,40
1670559551,2022,12,08,21,19,11,70.030000,84,70.680000,1020,10.360000,150,1670505397,1670542536,100
1670563148,2022,12,08,22,19,08,69.960000,87,70.750000,1020,11.500000,150,1670505397,1670542536,100
1670566755,2022,12,08,23,19,15,69.690000,90,70.590000,1020,11.500000,160,1670591839,1670628946,100
1670570351,2022,12,09,00,19,11,69.600000,88,70.390000,1020,12.660000,160,1670591839,1670628946,100
1670573949,2022,12,09,01,19,09,69.400000,89,70.230000,1020,9.220000,170,1670591839,1670628946,100
1670577549,2022,12,09,02,19,09,69.010000,86,69.660000,1019,8.050000,170,1670591839,1670628946,100
1670581154,2022,12,09,03,19,14,68.650000,88,69.350000,1020,6.910000,170,1670591839,1670628946,100
1670584748,2022,12,09,04,19,08,67.690000,89,68.340000,1020,3.440000,160,1670591839,1670628946,75
1670588350,2022,12,09,05,19,10,66.780000,91,67.420000,1020,3.440000,90,1670591839,1670628946,75
1670591949,2022,12,09,06,19,09,66.560000,91,67.190000,1020,3.440000,90,1670591839,1670628946,100
1670595567,2022,12,09,07,19,27,66.880000,93,67.640000,1021,3.440000,110,1670591839,1670628946,100
1670599155,2022,12,09,08,19,15,68.590000,92,69.480000,1020,3.440000,0,1670591839,1670628946,100
1670602750,2022,12,09,09,19,10,71.010000,86,71.850000,1021,8.050000,140,1670591839,1670628946,100
1670605954,2022,12,09,10,12,34,72.970000,78,73.630000,1020,9.220000,140,1670591839,1670628945,75
1670609554,2022,12,09,11,12,34,75.000000,74,75.690000,1019,9.220000,170,1670591839,1670628945,75
1670613454,2022,12,09,12,17,34,77.110000,70,77.810000,1018,8.050000,160,1670591839,1670628945,75
1670617152,2022,12,09,13,19,12,78.620000,65,79.230000,1017,10.360000,140,1670591839,1670628946,75
1670620749,2022,12,09,14,19,09,78.820000,64,78.820000,1016,8.050000,130,1670591839,1670628946,75
1670624349,2022,12,09,15,19,09,78.390000,61,78.800000,1016,10.360000,150,1670591839,1670628946,75
1670627948,2022,12,09,16,19,08,77.050000,62,77.380000,1016,10.360000,140,1670591839,1670628946,75
1670631113,2022,12,09,17,11,53,74.970000,65,75.220000,1016,12.660000,140,1670591839,1670628947,40
1670634941,2022,12,09,18,15,41,72.860000,72,73.240000,1016,9.220000,140,1670591839,1670628948,20
1670638472,2022,12,09,19,14,32,71.420000,77,71.890000,1017,11.500000,140,1670591838,1670628946,20
1670642350,2022,12,09,20,19,10,70.320000,82,70.920000,1017,13.800000,150,1670591839,1670628946,40
1670645951,2022,12,09,21,19,11,69.690000,86,70.410000,1017,11.500000,140,1670591839,1670628946,75
1670649549,2022,12,09,22,19,09,69.530000,88,70.320000,1017,9.220000,160,1670591839,1670628946,75
1670652586,2022,12,09,23,09,46,69.760000,88,70.570000,1017,12.660000,150,1670678280,1670715359,75
1670656749,2022,12,10,00,19,09,69.390000,89,70.210000,1017,11.500000,150,1670678280,1670715358,100
1670660353,2022,12,10,01,19,13,68.950000,89,69.730000,1017,10.360000,150,1670678280,1670715358,100
1670663952,2022,12,10,02,19,12,68.700000,89,69.460000,1017,12.660000,150,1670678280,1670715358,100
1670667553,2022,12,10,03,19,13,68.760000,89,69.510000,1017,13.800000,150,1670678280,1670715358,100
1670671149,2022,12,10,04,19,09,68.830000,87,69.490000,1017,13.800000,150,1670678280,1670715358,100
1670674753,2022,12,10,05,19,13,68.830000,87,69.490000,1017,12.660000,150,1670678280,1670715358,100
1670678351,2022,12,10,06,19,11,68.810000,88,69.530000,1018,10.360000,150,1670678280,1670715358,100
1670681949,2022,12,10,07,19,09,68.950000,88,69.690000,1018,8.050000,150,1670678280,1670715358,100
1670685555,2022,12,10,08,19,15,69.930000,86,70.660000,1018,10.360000,180,1670678280,1670715358,100
1670688910,2022,12,10,09,15,10,71.440000,84,72.230000,1018,11.500000,150,1670678280,1670715357,100
1670692749,2022,12,10,10,19,09,72.910000,79,73.620000,1018,12.660000,140,1670678280,1670715358,100
1670696349,2022,12,10,11,19,09,75.150000,73,75.790000,1017,11.500000,130,1670678280,1670715358,100
1670699949,2022,12,10,12,19,09,76.500000,69,77.090000,1017,8.050000,170,1670678280,1670715358,100
1670703549,2022,12,10,13,19,09,77.490000,64,77.940000,1015,12.660000,160,1670678280,1670715358,75
1670707149,2022,12,10,14,19,09,77.610000,62,77.990000,1015,12.660000,160,1670678280,1670715358,75
1670710158,2022,12,10,15,09,18,77.070000,63,77.430000,1015,13.800000,150,1670678280,1670715357,100
1670714349,2022,12,10,16,19,09,76.140000,65,76.500000,1015,8.050000,140,1670678280,1670715358,100
1670717952,2022,12,10,17,19,12,73.470000,69,73.760000,1015,3.440000,140,1670678280,1670715358,100
1670721549,2022,12,10,18,19,09,71.730000,75,72.120000,1016,0.000000,0,1670678280,1670715358,75
1670725154,2022,12,10,19,19,14,71.960000,76,72.430000,1016,3.440000,290,1670678280,1670715358,100
1670728749,2022,12,10,20,19,09,71.690000,78,72.230000,1016,6.910000,120,1670678280,1670715358,100
1670732349,2022,12,10,21,19,09,70.650000,83,71.310000,1017,6.910000,140,1670678280,1670715358,100
1670735950,2022,12,10,22,19,10,70.180000,87,70.990000,1017,6.910000,120,1670678280,1670715358,100
1670739549,2022,12,10,23,19,09,69.220000,89,70.030000,1016,3.440000,70,1670764721,1670801771,100
1670743150,2022,12,11,00,19,10,68.040000,89,68.720000,1016,3.440000,290,1670764721,1670801771,75
1670746749,2022,12,11,01,19,09,67.260000,88,67.820000,1016,4.610000,350,1670764721,1670801771,100
1670750350,2022,12,11,02,19,10,66.200000,86,66.560000,1017,19.570000,10,1670764721,1670801771,100
1670753951,2022,12,11,03,19,11,64.960000,85,65.160000,1017,19.570000,20,1670764721,1670801771,100
1670757549,2022,12,11,04,19,09,63.880000,83,63.860000,1018,9.220000,40,1670764721,1670801771,75
1670761150,2022,12,11,05,19,10,63.300000,82,63.190000,1018,10.360000,20,1670764721,1670801771,75
1670764750,2022,12,11,06,19,10,62.910000,81,62.710000,1018,10.360000,30,1670764721,1670801771,75
1670768353,2022,12,11,07,19,13,63.520000,80,63.340000,1018,9.220000,30,1670764721,1670801771,40
1670771949,2022,12,11,08,19,09,65.710000,77,65.610000,1019,12.660000,30,1670764721,1670801771,75
1670775550,2022,12,11,09,19,10,68.000000,70,67.780000,1020,12.660000,30,1670764721,1670801771,75
1670778986,2022,12,11,10,16,26,70.020000,67,69.870000,1019,12.660000,30,1670764720,1670801770,20
1670782751,2022,12,11,11,19,11,71.460000,61,71.170000,1018,13.800000,60,1670764721,1670801771,20
1670785828,2022,12,11,12,10,28,72.450000,60,72.210000,1018,14.970000,20,1670764720,1670801770,40
1670789949,2022,12,11,13,19,09,73.270000,57,72.990000,1016,12.660000,50,1670764721,1670801771,20
1670793550,2022,12,11,14,19,10,72.810000,58,72.520000,1016,12.660000,70,1670764721,1670801771,20
1670796781,2022,12,11,15,13,01,71.170000,65,71.040000,1016,12.660000,80,1670764720,1670801770,20
1670800749,2022,12,11,16,19,09,68.740000,68,68.500000,1016,12.660000,90,1670764721,1670801771,20
1670804350,2022,12,11,17,19,10,65.410000,75,65.170000,1016,9.220000,90,1670764721,1670801771,20
1670807949,2022,12,11,18,19,09,63.030000,81,62.830000,1017,12.660000,80,1670764721,1670801771,20
1670811549,2022,12,11,19,19,09,61.160000,83,60.870000,1017,8.050000,60,1670764721,1670801771,20
1670815149,2022,12,11,20,19,09,60.760000,84,60.490000,1018,9.220000,70,1670764721,1670801771,75
1670818750,2022,12,11,21,19,10,61.050000,83,60.760000,1018,10.360000,40,1670764721,1670801771,100
1670822350,2022,12,11,22,19,10,61.210000,84,60.980000,1018,8.050000,50,1670764721,1670801771,100
1670825950,2022,12,11,23,19,10,60.600000,86,60.400000,1017,10.360000,80,1670851160,1670888185,100
1670829549,2022,12,12,00,19,09,60.220000,87,60.040000,1017,6.910000,60,1670851160,1670888185,100
1670833150,2022,12,12,01,19,10,60.100000,88,59.940000,1016,8.050000,60,1670851160,1670888185,100
1670836749,2022,12,12,02,19,09,59.950000,91,59.920000,1016,8.050000,50,1670851160,1670888185,100
1670840350,2022,12,12,03,19,10,59.850000,93,59.900000,1016,8.050000,70,1670851160,1670888185,100
1670843950,2022,12,12,04,19,10,59.950000,94,60.060000,1016,6.910000,90,1670851160,1670888185,100
1670847549,2022,12,12,05,19,09,60.190000,94,60.330000,1015,8.050000,70,1670851160,1670888185,100
1670851150,2022,12,12,06,19,10,60.370000,94,60.530000,1015,5.750000,110,1670851160,1670888185,100
1670853970,2022,12,12,07,06,10,60.820000,94,61.020000,1015,8.050000,80,1670851160,1670888185,100
1670857436,2022,12,12,08,03,56,61.560000,95,61.880000,1015,6.910000,90,1670851160,1670888185,100
1670861170,2022,12,12,09,06,10,63.000000,95,63.460000,1015,8.050000,110,1670851160,1670888185,100
1670864770,2022,12,12,10,06,10,64.260000,95,64.850000,1014,10.360000,130,1670851160,1670888185,100
1670868370,2022,12,12,11,06,10,65.640000,94,66.330000,1013,8.050000,130,1670851160,1670888185,100
1670871969,2022,12,12,12,06,09,67.480000,94,68.340000,1012,11.500000,140,1670851160,1670888185,100
1670875576,2022,12,12,13,06,16,69.960000,91,70.930000,1010,10.360000,150,1670851160,1670888185,100
1670879176,2022,12,12,14,06,16,71.910000,87,72.880000,1010,11.500000,150,1670851160,1670888185,100
1670882773,2022,12,12,15,06,13,73.710000,82,74.620000,1009,14.970000,150,1670851160,1670888185,75
1670886369,2022,12,12,16,06,09,73.960000,77,74.680000,1008,19.570000,150,1670851160,1670888185,75
1670889382,2022,12,12,16,56,22,72.700000,79,73.380000,1007,3.000000,72,1670851160,1670888185,99
1670893569,2022,12,12,18,06,09,71.940000,81,72.640000,1008,19.570000,130,1670851160,1670888185,75
1670897169,2022,12,12,19,06,09,71.020000,84,71.780000,1009,18.410000,150,1670851160,1670888185,100
1670900770,2022,12,12,20,06,10,70.660000,85,71.420000,1009,16.110000,140,1670851160,1670888185,100
1670904370,2022,12,12,21,06,10,70.650000,86,71.460000,1009,14.970000,130,1670851160,1670888185,100
1670907970,2022,12,12,22,06,10,70.650000,87,71.490000,1008,14.970000,140,1670851160,1670888185,100
1670911573,2022,12,12,23,06,13,70.520000,87,71.370000,1007,16.110000,150,1670937599,1670974602,100
1670915170,2022,12,13,00,06,10,70.450000,87,71.280000,1007,13.800000,140,1670937599,1670974602,100
1670918770,2022,12,13,01,06,10,70.380000,87,71.200000,1006,14.970000,150,1670937599,1670974602,100
1670922369,2022,12,13,02,06,09,70.000000,88,70.830000,1006,13.800000,150,1670937599,1670974602,75
1670925969,2022,12,13,03,06,09,69.840000,89,70.700000,1006,11.500000,140,1670937599,1670974602,100
1670929570,2022,12,13,04,06,10,69.930000,88,70.750000,1006,11.500000,150,1670937599,1670974602,100
1670933196,2022,12,13,05,06,36,69.840000,88,70.660000,1006,12.660000,150,1670937599,1670974602,100
1670936769,2022,12,13,06,06,09,69.760000,88,70.570000,1006,11.500000,160,1670937599,1670974602,100
1670939994,2022,12,13,06,59,54,69.730000,89,70.590000,1008,1.990000,262,1670937599,1670974601,100
1670943969,2022,12,13,08,06,09,70.380000,88,71.260000,1007,10.360000,160,1670937599,1670974602,100
1670947570,2022,12,13,09,06,10,71.460000,87,72.390000,1007,10.360000,170,1670937599,1670974602,100
1670951176,2022,12,13,10,06,16,73.620000,80,74.440000,1006,12.660000,180,1670937599,1670974602,100
1670954769,2022,12,13,11,06,09,75.580000,73,76.260000,1006,10.360000,180,1670937599,1670974602,75
1670958384,2022,12,13,12,06,24,77.810000,66,78.390000,1004,10.360000,190,1670937599,1670974602,100
1670961970,2022,12,13,13,06,10,79.290000,62,79.290000,1004,6.910000,200,1670937599,1670974602,75
1670965568,2022,12,13,14,06,08,79.290000,60,79.290000,1003,4.610000,220,1670937599,1670974602,75
1670969130,2022,12,13,15,05,30,77.670000,57,77.810000,1003,4.610000,260,1670937599,1670974601,75
1670972769,2022,12,13,16,06,09,71.600000,53,70.950000,1004,14.970000,360,1670937599,1670974602,100
1670976369,2022,12,13,17,06,09,68.230000,50,67.100000,1005,17.270000,20,1670937599,1670974602,100
1670979633,2022,12,13,18,00,33,66.990000,49,65.700000,1006,11.500000,10,1670937599,1670974601,75
