utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545145,2022,12,08,17,19,05,59.590000,51,57.650000,1018,6.490000,2,1670507274,1670543943,58
1670548745,2022,12,08,18,19,05,57.900000,54,55.920000,1019,7.290000,12,1670507274,1670543943,75
1670552346,2022,12,08,19,19,06,56.610000,56,54.590000,1019,6.330000,23,1670507274,1670543943,86
1670555945,2022,12,08,20,19,05,56.390000,56,54.360000,1019,5.500000,20,1670507274,1670543943,91
1670559547,2022,12,08,21,19,07,55.400000,57,53.310000,1019,5.230000,20,1670507274,1670543943,93
1670563145,2022,12,08,22,19,05,54.790000,58,52.700000,1019,5.570000,24,1670507274,1670543943,94
1670566750,2022,12,08,23,19,10,54.000000,58,51.820000,1019,5.500000,36,1670507274,1670543943,84
1670570348,2022,12,09,00,19,08,53.290000,59,51.100000,1019,4.470000,43,1670593718,1670630352,100
1670573946,2022,12,09,01,19,06,52.990000,58,50.720000,1018,4.290000,43,1670593718,1670630352,100
1670577546,2022,12,09,02,19,06,52.590000,60,50.380000,1018,4.000000,50,1670593718,1670630352,100
1670581150,2022,12,09,03,19,10,52.160000,63,50.040000,1017,3.240000,50,1670593718,1670630352,100
1670584745,2022,12,09,04,19,05,51.390000,68,49.420000,1017,2.950000,64,1670593718,1670630352,99
1670588346,2022,12,09,05,19,06,50.500000,73,48.690000,1017,2.910000,75,1670593718,1670630352,95
1670591946,2022,12,09,06,19,06,50.230000,77,48.580000,1017,3.240000,78,1670593718,1670630352,74
1670595557,2022,12,09,07,19,17,50.400000,80,48.900000,1018,4.050000,95,1670593718,1670630352,54
1670599150,2022,12,09,08,19,10,53.510000,78,52.230000,1017,4.740000,111,1670593718,1670630352,43
1670602747,2022,12,09,09,19,07,56.640000,74,55.490000,1017,5.210000,129,1670593718,1670630352,49
1670606348,2022,12,09,10,19,08,59.140000,69,58.010000,1017,6.220000,149,1670593718,1670630352,58
1670609946,2022,12,09,11,19,06,61.590000,63,60.400000,1015,8.900000,158,1670593718,1670630352,65
1670613551,2022,12,09,12,19,11,63.630000,58,62.420000,1014,10.330000,170,1670593718,1670630352,100
1670617147,2022,12,09,13,19,07,64.620000,56,63.410000,1013,9.860000,184,1670593718,1670630352,95
1670620746,2022,12,09,14,19,06,65.300000,53,64.020000,1012,8.970000,198,1670593718,1670630352,96
1670624346,2022,12,09,15,19,06,66.650000,47,65.230000,1012,6.460000,229,1670593718,1670630352,97
1670627945,2022,12,09,16,19,05,66.580000,45,65.050000,1011,5.260000,271,1670593718,1670630352,96
1670631547,2022,12,09,17,19,07,62.580000,53,61.030000,1012,4.520000,322,1670593718,1670630352,98
1670635145,2022,12,09,18,19,05,60.910000,54,59.230000,1013,4.700000,324,1670593718,1670630352,100
1670638746,2022,12,09,19,19,06,59.290000,57,57.600000,1013,6.980000,330,1670593718,1670630352,100
1670642347,2022,12,09,20,19,07,58.440000,57,56.660000,1014,5.300000,327,1670593718,1670630352,100
1670645947,2022,12,09,21,19,07,58.080000,60,56.410000,1014,1.810000,355,1670593718,1670630352,100
1670649546,2022,12,09,22,19,06,57.920000,58,56.140000,1015,6.870000,335,1670593718,1670630352,100
1670653148,2022,12,09,23,19,08,57.630000,58,55.810000,1015,6.600000,330,1670593718,1670630352,97
1670656746,2022,12,10,00,19,06,56.430000,47,53.980000,1015,5.080000,338,1670680160,1670716762,100
1670660349,2022,12,10,01,19,09,56.120000,46,53.600000,1015,3.380000,345,1670680160,1670716762,100
1670663948,2022,12,10,02,19,08,56.120000,44,53.490000,1015,3.600000,342,1670680160,1670716762,100
1670667548,2022,12,10,03,19,08,55.630000,44,52.970000,1015,3.780000,323,1670680160,1670716762,100
1670671147,2022,12,10,04,19,07,55.090000,44,52.380000,1015,2.930000,334,1670680160,1670716762,100
1670674748,2022,12,10,05,19,08,53.220000,45,50.360000,1015,4.650000,334,1670680160,1670716762,95
1670678347,2022,12,10,06,19,07,52.900000,45,50.000000,1016,5.260000,339,1670680160,1670716762,98
1670681946,2022,12,10,07,19,06,52.360000,46,49.460000,1017,5.460000,328,1670680160,1670716762,93
1670685551,2022,12,10,08,19,11,53.710000,43,50.790000,1018,4.050000,329,1670680160,1670716762,81
1670689146,2022,12,10,09,19,06,56.080000,37,53.130000,1018,4.000000,309,1670680160,1670716762,82
1670692746,2022,12,10,10,19,06,58.550000,32,55.620000,1018,4.680000,320,1670680160,1670716762,70
1670696346,2022,12,10,11,19,06,60.850000,29,58.010000,1017,5.440000,301,1670680160,1670716762,67
1670699946,2022,12,10,12,19,06,62.420000,27,59.630000,1016,5.350000,280,1670680160,1670716762,4
1670703546,2022,12,10,13,19,06,63.500000,26,60.760000,1015,6.150000,284,1670680160,1670716762,19
1670707146,2022,12,10,14,19,06,63.990000,26,61.300000,1015,8.590000,297,1670680160,1670716762,13
1670710746,2022,12,10,15,19,06,63.370000,27,60.670000,1015,9.710000,299,1670680160,1670716762,10
1670714346,2022,12,10,16,19,06,61.810000,30,59.090000,1016,8.390000,297,1670680160,1670716762,8
1670717948,2022,12,10,17,19,08,57.870000,36,55.040000,1017,6.980000,311,1670680160,1670716762,7
1670721546,2022,12,10,18,19,06,56.300000,40,53.510000,1017,6.580000,337,1670680160,1670716762,0
1670725149,2022,12,10,19,19,09,54.720000,42,51.850000,1018,4.850000,355,1670680160,1670716762,0
1670728746,2022,12,10,20,19,06,53.490000,43,50.560000,1018,3.670000,0,1670680160,1670716762,0
1670732346,2022,12,10,21,19,06,52.270000,45,49.320000,1018,2.570000,14,1670680160,1670716762,0
1670735947,2022,12,10,22,19,07,51.210000,46,48.180000,1018,1.190000,65,1670680160,1670716762,0
1670739545,2022,12,10,23,19,05,50.560000,47,47.520000,1018,1.390000,104,1670680160,1670716762,0
1670743147,2022,12,11,00,19,07,50.220000,47,47.140000,1018,2.280000,105,1670766602,1670803174,0
1670746746,2022,12,11,01,19,06,49.460000,49,49.460000,1018,1.920000,103,1670766602,1670803174,0
1670750347,2022,12,11,02,19,07,48.560000,51,48.560000,1018,0.850000,55,1670766602,1670803174,0
1670753948,2022,12,11,03,19,08,48.060000,52,48.060000,1018,1.210000,38,1670766602,1670803174,0
1670757546,2022,12,11,04,19,06,47.570000,53,47.570000,1018,2.210000,43,1670766602,1670803174,0
1670761147,2022,12,11,05,19,07,47.160000,54,47.160000,1018,2.370000,72,1670766602,1670803174,0
