utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545031,2022,12,08,17,17,11,57.090000,85,56.500000,1020,0.000000,0,1670502450,1670537832,100
1670548631,2022,12,08,18,17,11,56.610000,93,56.340000,1021,1.010000,33,1670502450,1670537832,100
1670552230,2022,12,08,19,17,10,56.190000,86,55.560000,1021,1.010000,58,1670502450,1670537832,100
1670555830,2022,12,08,20,17,10,56.010000,86,55.360000,1021,1.010000,16,1670502450,1670537832,100
1670559435,2022,12,08,21,17,15,55.560000,86,54.860000,1021,1.010000,50,1670502450,1670537832,100
1670562841,2022,12,08,22,14,01,55.490000,93,55.110000,1021,0.000000,0,1670588897,1670624239,100
1670566636,2022,12,08,23,17,16,54.910000,93,54.480000,1021,0.000000,0,1670588897,1670624237,100
1670570234,2022,12,09,00,17,14,54.640000,93,54.180000,1021,0.000000,0,1670588897,1670624237,100
1670573830,2022,12,09,01,17,10,54.460000,85,53.600000,1020,0.000000,0,1670588897,1670624237,100
1670577430,2022,12,09,02,17,10,54.270000,85,53.380000,1019,1.010000,50,1670588897,1670624237,100
1670581036,2022,12,09,03,17,16,53.620000,85,52.680000,1020,0.000000,0,1670588897,1670624237,100
1670584543,2022,12,09,04,15,43,53.550000,92,52.920000,1020,1.010000,351,1670588897,1670624239,100
1670588231,2022,12,09,05,17,11,52.500000,92,51.780000,1021,1.010000,315,1670588897,1670624237,100
1670591549,2022,12,09,06,12,29,52.300000,93,51.600000,1021,3.440000,160,1670588897,1670624239,100
1670595056,2022,12,09,07,10,56,51.910000,92,51.120000,1021,6.910000,160,1670588897,1670624238,100
1670599037,2022,12,09,08,17,17,51.120000,92,50.250000,1022,8.050000,170,1670588897,1670624237,100
1670602631,2022,12,09,09,17,11,51.420000,91,50.540000,1022,8.050000,150,1670588897,1670624237,100
1670606238,2022,12,09,10,17,18,51.550000,85,50.400000,1021,6.910000,160,1670588897,1670624237,100
1670609831,2022,12,09,11,17,11,51.690000,91,50.850000,1020,6.910000,160,1670588897,1670624237,100
1670613440,2022,12,09,12,17,20,51.780000,91,50.940000,1020,6.910000,160,1670588897,1670624237,100
1670617035,2022,12,09,13,17,15,51.750000,84,50.580000,1019,8.050000,160,1670588897,1670624237,100
1670620632,2022,12,09,14,17,12,51.130000,85,49.950000,1020,5.750000,140,1670588897,1670624237,100
1670624232,2022,12,09,15,17,12,50.410000,85,49.150000,1020,5.750000,130,1670588897,1670624237,100
1670627831,2022,12,09,16,17,11,49.550000,86,47.260000,1020,5.750000,130,1670588897,1670624237,100
1670631432,2022,12,09,17,17,12,48.940000,86,47.230000,1021,4.610000,150,1670588897,1670624237,100
1670635032,2022,12,09,18,17,12,48.270000,86,45.750000,1021,5.750000,150,1670588897,1670624237,100
1670638632,2022,12,09,19,17,12,47.880000,86,45.990000,1021,4.610000,150,1670588897,1670624237,100
1670642232,2022,12,09,20,17,12,47.610000,93,44.960000,1022,5.750000,160,1670588897,1670624237,100
1670645833,2022,12,09,21,17,13,47.460000,86,45.500000,1021,4.610000,160,1670588897,1670624237,100
1670649432,2022,12,09,22,17,12,47.520000,86,46.450000,1021,3.440000,160,1670675342,1670710644,100
1670653035,2022,12,09,23,17,15,47.160000,86,44.420000,1021,5.750000,160,1670675342,1670710644,100
