utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545023,2022,12,08,17,17,03,49.420000,30,46.040000,1023,8.050000,220,1670509947,1670545439,0
1670548623,2022,12,08,18,17,03,45.320000,33,45.320000,1022,0.000000,0,1670509947,1670545439,0
1670552223,2022,12,08,19,17,03,40.530000,38,40.530000,1022,0.000000,0,1670509947,1670545439,0
1670555823,2022,12,08,20,17,03,38.610000,44,36.280000,1023,3.440000,130,1670509947,1670545439,0
1670559425,2022,12,08,21,17,05,36.970000,47,31.530000,1022,6.910000,130,1670509947,1670545439,0
1670563023,2022,12,08,22,17,03,39.580000,43,39.580000,1021,1.970000,127,1670509947,1670545439,0
1670566623,2022,12,08,23,17,03,38.640000,45,38.640000,1021,1.860000,144,1670509947,1670545439,0
1670570224,2022,12,09,00,17,04,32.610000,61,28.170000,1022,4.610000,160,1670596394,1670631844,0
1670573822,2022,12,09,01,17,02,33.510000,62,33.510000,1022,0.000000,0,1670596394,1670631844,0
1670577353,2022,12,09,02,15,53,37.810000,44,37.810000,1020,1.010000,136,1670596393,1670631843,0
1670581023,2022,12,09,03,17,03,36.390000,37,36.390000,1020,1.740000,126,1670596394,1670631844,1
1670584623,2022,12,09,04,17,03,33.040000,51,33.040000,1020,0.000000,0,1670596394,1670631844,0
1670588222,2022,12,09,05,17,02,34.270000,51,31.320000,1020,3.440000,170,1670596394,1670631844,0
1670591822,2022,12,09,06,17,02,33.210000,53,28.850000,1020,4.610000,140,1670596394,1670631844,0
1670595425,2022,12,09,07,17,05,31.800000,53,28.510000,1020,3.440000,220,1670596394,1670631844,0
1670599026,2022,12,09,08,17,06,30.790000,61,27.360000,1021,3.440000,170,1670596394,1670631844,0
1670602624,2022,12,09,09,17,04,40.260000,45,38.170000,1021,3.440000,210,1670596394,1670631844,0
1670606227,2022,12,09,10,17,07,43.300000,44,41.650000,1021,3.440000,240,1670596394,1670631844,0
1670609824,2022,12,09,11,17,04,49.460000,31,48.690000,1021,3.440000,280,1670596394,1670631844,0
1670613429,2022,12,09,12,17,09,52.500000,28,48.780000,1020,0.000000,0,1670596394,1670631844,0
1670617025,2022,12,09,13,17,05,54.570000,22,50.760000,1019,0.000000,0,1670596394,1670631844,0
