utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545030,2022,12,08,17,17,10,55.000000,91,54.480000,1021,8.990000,340,1670502837,1670538098,100
1670548630,2022,12,08,18,17,10,54.680000,91,54.120000,1022,6.910000,130,1670502837,1670538098,75
1670552040,2022,12,08,19,14,00,54.360000,92,53.820000,1022,4.610000,330,1670502838,1670538099,100
1670555830,2022,12,08,20,17,10,54.090000,91,53.470000,1022,4.610000,340,1670502837,1670538098,100
1670559434,2022,12,08,21,17,14,54.210000,91,53.620000,1022,3.440000,60,1670502837,1670538098,100
1670563030,2022,12,08,22,17,10,54.270000,91,53.670000,1022,0.000000,0,1670589284,1670624502,100
1670566635,2022,12,08,23,17,15,54.300000,91,53.710000,1022,0.000000,0,1670589284,1670624502,100
1670570233,2022,12,09,00,17,13,54.250000,91,53.650000,1021,4.610000,360,1670589284,1670624502,100
1670573829,2022,12,09,01,17,09,53.780000,90,53.100000,1021,4.610000,20,1670589284,1670624502,100
1670577429,2022,12,09,02,17,09,53.510000,91,52.840000,1021,3.440000,320,1670589284,1670624502,100
1670581035,2022,12,09,03,17,15,53.470000,91,52.790000,1020,6.910000,340,1670589284,1670624502,100
1670584629,2022,12,09,04,17,09,53.200000,91,52.500000,1020,4.610000,40,1670589284,1670624502,100
1670588231,2022,12,09,05,17,11,52.160000,91,51.350000,1020,3.440000,30,1670589284,1670624502,100
1670591829,2022,12,09,06,17,09,51.730000,91,50.880000,1020,4.610000,30,1670589284,1670624502,100
1670595439,2022,12,09,07,17,19,52.410000,91,51.640000,1021,3.440000,10,1670589284,1670624502,100
1670599036,2022,12,09,08,17,16,54.030000,90,53.370000,1021,4.610000,350,1670589284,1670624502,100
1670602631,2022,12,09,09,17,11,55.600000,79,54.570000,1021,4.610000,310,1670589284,1670624502,100
1670606237,2022,12,09,10,17,17,57.520000,73,56.410000,1020,0.000000,0,1670589284,1670624502,100
1670609831,2022,12,09,11,17,11,58.140000,84,57.600000,1020,3.440000,30,1670589284,1670624502,100
1670613439,2022,12,09,12,17,19,58.550000,89,58.280000,1019,1.010000,40,1670589284,1670624502,100
1670617034,2022,12,09,13,17,14,58.570000,88,58.260000,1019,0.000000,0,1670589284,1670624502,100
1670620259,2022,12,09,14,10,59,58.460000,90,58.240000,1019,0.000000,0,1670589285,1670624504,100
