utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544699,2022,12,08,17,11,39,56.340000,95,56.140000,1022,8.050000,340,1670503550,1670538755,100
1670548629,2022,12,08,18,17,09,56.050000,96,55.870000,1022,8.050000,10,1670503550,1670538754,100
1670552229,2022,12,08,19,17,09,55.870000,94,55.580000,1022,6.910000,10,1670503550,1670538754,100
1670555829,2022,12,08,20,17,09,55.710000,94,55.400000,1022,9.220000,40,1670503550,1670538754,100
1670559434,2022,12,08,21,17,14,55.420000,94,55.080000,1021,4.610000,50,1670503550,1670538754,100
1670563030,2022,12,08,22,17,10,55.270000,94,54.910000,1021,5.750000,50,1670503550,1670538754,100
1670566634,2022,12,08,23,17,14,55.040000,94,54.660000,1021,5.750000,40,1670589997,1670625159,100
1670570233,2022,12,09,00,17,13,54.990000,94,54.610000,1020,5.750000,40,1670589997,1670625159,100
1670573829,2022,12,09,01,17,09,54.730000,95,54.370000,1020,5.750000,40,1670589997,1670625159,100
1670577429,2022,12,09,02,17,09,54.730000,95,54.370000,1020,5.750000,60,1670589997,1670625159,100
1670581034,2022,12,09,03,17,14,54.750000,96,54.450000,1020,3.440000,90,1670589997,1670625159,100
1670584629,2022,12,09,04,17,09,54.810000,96,54.500000,1019,0.000000,0,1670589997,1670625159,100
1670588230,2022,12,09,05,17,10,54.820000,89,54.190000,1012,3.440000,110,1670589997,1670625159,100
1670591537,2022,12,09,06,12,17,54.930000,89,54.300000,1012,0.000000,0,1670589998,1670625159,100
1670595438,2022,12,09,07,17,18,55.380000,90,54.840000,1013,0.000000,0,1670589997,1670625159,100
1670599035,2022,12,09,08,17,15,56.120000,89,55.620000,1013,1.990000,56,1670589997,1670625159,100
1670602630,2022,12,09,09,17,10,56.660000,89,56.210000,1013,3.440000,10,1670589997,1670625159,100
1670606237,2022,12,09,10,17,17,57.850000,88,57.470000,1013,3.440000,250,1670589997,1670625159,100
1670609433,2022,12,09,11,10,33,58.350000,87,57.970000,1012,5.750000,280,1670589998,1670625159,100
1670613194,2022,12,09,12,13,14,59.270000,85,58.890000,1012,5.750000,290,1670589998,1670625160,100
1670617033,2022,12,09,13,17,13,59.680000,83,59.250000,1011,5.750000,300,1670589997,1670625159,100
1670620632,2022,12,09,14,17,12,59.810000,83,59.400000,1012,6.910000,300,1670589997,1670625159,100
1670624231,2022,12,09,15,17,11,59.400000,82,58.890000,1012,5.750000,310,1670589997,1670625159,100
1670627830,2022,12,09,16,17,10,58.770000,82,58.190000,1013,4.610000,290,1670589997,1670625159,100
1670631431,2022,12,09,17,17,11,56.770000,84,56.080000,1014,4.610000,360,1670589997,1670625159,75
1670635031,2022,12,09,18,17,11,55.090000,85,54.300000,1014,3.440000,290,1670589997,1670625159,75
1670638631,2022,12,09,19,17,11,53.370000,87,52.480000,1014,3.440000,0,1670589997,1670625159,40
1670642231,2022,12,09,20,17,11,52.290000,87,51.300000,1015,4.610000,270,1670589997,1670625159,20
1670645832,2022,12,09,21,17,12,51.350000,87,50.270000,1014,3.440000,340,1670589997,1670625159,100
1670649431,2022,12,09,22,17,11,50.680000,86,49.500000,1015,1.990000,21,1670589997,1670625159,75
1670653034,2022,12,09,23,17,14,49.500000,86,48.720000,1015,3.440000,240,1670676443,1670711566,40
1670656632,2022,12,10,00,17,12,48.220000,86,48.220000,1015,1.990000,60,1670676443,1670711566,20
1670660233,2022,12,10,01,17,13,48.000000,87,47.010000,1015,3.440000,250,1670676443,1670711566,75
1670663834,2022,12,10,02,17,14,48.330000,86,47.790000,1015,3.000000,80,1670676443,1670711566,100
1670667434,2022,12,10,03,17,14,48.110000,87,48.110000,1015,1.990000,314,1670676443,1670711566,75
1670671031,2022,12,10,04,17,11,48.720000,88,48.720000,1016,1.010000,78,1670676443,1670711566,100
1670674635,2022,12,10,05,17,15,48.850000,89,48.850000,1015,1.010000,224,1670676443,1670711566,100
1670678232,2022,12,10,06,17,12,48.920000,88,48.450000,1013,3.000000,248,1670676443,1670711566,100
1670681830,2022,12,10,07,17,10,50.050000,84,48.700000,1013,4.610000,180,1670676443,1670711566,100
1670685421,2022,12,10,08,17,01,50.940000,85,49.730000,1016,4.610000,170,1670676444,1670711566,100
1670689032,2022,12,10,09,17,12,52.840000,83,51.730000,1016,5.750000,170,1670676443,1670711566,100
1670692631,2022,12,10,10,17,11,54.500000,80,53.400000,1015,5.750000,140,1670676443,1670711566,100
1670696231,2022,12,10,11,17,11,54.840000,80,53.780000,1015,6.910000,320,1670676443,1670711566,100
1670699832,2022,12,10,12,17,12,53.830000,82,52.770000,1014,4.610000,10,1670676443,1670711566,100
1670703431,2022,12,10,13,17,11,53.690000,81,52.570000,1014,5.990000,64,1670676443,1670711566,100
1670707031,2022,12,10,14,17,11,52.590000,84,51.490000,1013,5.010000,201,1670676443,1670711566,100
1670710631,2022,12,10,15,17,11,52.270000,85,51.190000,1013,10.360000,130,1670676443,1670711566,75
1670714044,2022,12,10,16,14,04,52.360000,85,51.300000,1013,4.000000,128,1670676445,1670711567,100
1670717636,2022,12,10,17,13,56,52.070000,83,50.880000,1011,5.750000,10,1670676444,1670711564,100
1670721434,2022,12,10,18,17,14,52.020000,85,50.920000,1014,3.440000,360,1670676443,1670711566,100
1670725032,2022,12,10,19,17,12,51.660000,86,50.560000,1014,4.610000,40,1670676443,1670711566,100
1670728632,2022,12,10,20,17,12,51.300000,86,50.160000,1014,4.610000,70,1670676443,1670711566,100
1670732231,2022,12,10,21,17,11,51.190000,86,50.050000,1014,4.610000,30,1670676443,1670711566,100
1670735831,2022,12,10,22,17,11,50.860000,85,49.640000,1014,4.610000,50,1670676443,1670711566,100
1670739431,2022,12,10,23,17,11,50.540000,86,49.330000,1014,1.990000,142,1670762888,1670797974,100
1670743035,2022,12,11,00,17,15,50.540000,85,49.300000,1014,6.910000,10,1670762888,1670797974,100
1670746631,2022,12,11,01,17,11,49.550000,86,46.200000,1014,8.050000,20,1670762888,1670797974,100
1670750231,2022,12,11,02,17,11,49.480000,86,46.600000,1014,6.910000,10,1670762888,1670797974,100
1670753830,2022,12,11,03,17,10,49.190000,86,45.770000,1015,8.010000,124,1670762888,1670797974,100
1670757432,2022,12,11,04,17,12,48.940000,85,45.950000,1014,6.910000,360,1670762888,1670797974,100
1670761031,2022,12,11,05,17,11,48.510000,85,44.920000,1015,8.050000,10,1670762888,1670797974,100
1670764632,2022,12,11,06,17,12,48.650000,86,45.120000,1016,8.010000,10,1670762888,1670797974,100
1670768231,2022,12,11,07,17,11,48.880000,86,46.470000,1016,5.750000,10,1670762888,1670797974,100
1670771834,2022,12,11,08,17,14,49.500000,83,46.580000,1013,7.000000,117,1670762888,1670797974,100
1670775431,2022,12,11,09,17,11,50.540000,82,49.150000,1015,12.660000,10,1670762888,1670797974,100
1670778750,2022,12,11,10,12,30,50.860000,82,49.500000,1015,10.360000,20,1670762890,1670797975,100
1670782631,2022,12,11,11,17,11,51.460000,82,50.160000,1013,10.360000,20,1670762888,1670797974,100
1670786232,2022,12,11,12,17,12,51.690000,85,50.560000,1022,10.360000,10,1670762888,1670797974,100
1670789831,2022,12,11,13,17,11,51.040000,87,49.950000,1021,6.910000,350,1670762888,1670797974,100
1670793126,2022,12,11,14,12,06,50.740000,81,49.320000,1015,10.000000,10,1670762889,1670797975,100
1670796589,2022,12,11,15,09,49,50.180000,82,48.760000,1015,9.220000,10,1670762890,1670797975,100
1670800631,2022,12,11,16,17,11,49.750000,81,46.000000,1014,9.220000,20,1670762888,1670797974,100
1670804230,2022,12,11,17,17,10,49.240000,82,45.460000,1016,8.990000,20,1670762888,1670797974,100
1670807831,2022,12,11,18,17,11,48.540000,84,44.960000,1015,8.050000,360,1670762888,1670797974,100
1670811430,2022,12,11,19,17,10,47.800000,85,43.200000,1016,10.360000,360,1670762888,1670797974,100
1670815030,2022,12,11,20,17,10,47.460000,85,43.650000,1015,8.050000,10,1670762888,1670797974,100
1670818631,2022,12,11,21,17,11,47.190000,85,42.850000,1016,9.220000,10,1670762888,1670797974,100
1670822232,2022,12,11,22,17,12,46.890000,83,42.480000,1015,9.220000,10,1670762888,1670797974,100
1670825832,2022,12,11,23,17,12,45.860000,86,40.370000,1016,11.500000,10,1670849332,1670884385,100
1670829431,2022,12,12,00,17,11,45.320000,84,40.100000,1015,10.360000,20,1670849332,1670884385,100
1670833032,2022,12,12,01,17,12,44.670000,83,39.740000,1015,9.220000,30,1670849332,1670884385,100
1670836631,2022,12,12,02,17,11,43.880000,84,38.320000,1015,10.360000,40,1670849332,1670884385,100
1670840232,2022,12,12,03,17,12,43.340000,84,38.620000,1015,8.050000,10,1670849332,1670884385,100
1670843831,2022,12,12,04,17,11,43.210000,83,38.500000,1017,8.010000,10,1670849332,1670884385,100
1670847431,2022,12,12,05,17,11,43.070000,84,38.300000,1016,8.050000,30,1670849332,1670884385,100
1670851031,2022,12,12,06,17,11,42.750000,85,36.300000,1016,11.990000,115,1670849332,1670884385,100
1670853852,2022,12,12,07,04,12,43.230000,85,38.500000,1016,8.050000,30,1670849332,1670884385,100
1670857456,2022,12,12,08,04,16,44.260000,83,39.740000,1016,8.050000,30,1670849332,1670884385,100
1670861052,2022,12,12,09,04,12,45.570000,81,40.860000,1017,9.220000,40,1670849332,1670884385,100
1670864652,2022,12,12,10,04,12,47.820000,76,45.910000,1016,4.610000,50,1670849332,1670884385,75
1670867744,2022,12,12,10,55,44,49.480000,74,49.480000,1013,1.010000,148,1670849334,1670884386,40
1670871852,2022,12,12,12,04,12,51.960000,66,49.960000,1015,4.610000,0,1670849332,1670884385,40
1670875459,2022,12,12,13,04,19,53.310000,61,51.210000,1014,5.750000,360,1670849332,1670884385,40
1670878738,2022,12,12,13,58,58,53.280000,62,51.220000,1011,6.910000,60,1670849333,1670884385,0
1670882654,2022,12,12,15,04,14,52.950000,61,50.810000,1014,8.050000,30,1670849332,1670884385,40
1670886013,2022,12,12,16,00,13,49.870000,70,48.720000,1008,4.000000,104,1670849333,1670884385,8
1670889854,2022,12,12,17,04,14,46.690000,72,45.520000,1021,3.440000,10,1670849332,1670884385,20
1670893451,2022,12,12,18,04,11,44.830000,77,40.440000,1021,8.050000,50,1670849332,1670884385,0
1670897052,2022,12,12,19,04,12,43.320000,80,39.180000,1021,6.910000,60,1670849332,1670884385,0
1670900652,2022,12,12,20,04,12,42.210000,83,38.550000,1021,5.750000,60,1670849332,1670884385,0
1670904250,2022,12,12,21,04,10,41.070000,84,39.090000,1021,3.440000,60,1670849332,1670884385,20
1670907851,2022,12,12,22,04,11,39.830000,86,36.590000,1021,4.610000,50,1670849332,1670884385,20
1670911455,2022,12,12,23,04,15,40.010000,85,37.890000,1014,3.440000,10,1670935774,1670970797,20
1670915051,2022,12,13,00,04,11,39.110000,84,37.360000,1014,3.000000,150,1670935774,1670970797,20
1670918653,2022,12,13,01,04,13,38.390000,85,36.030000,1011,3.440000,170,1670935774,1670970797,0
1670921990,2022,12,13,01,59,50,38.530000,83,36.720000,1007,3.000000,142,1670935776,1670970798,0
1670925851,2022,12,13,03,04,11,37.490000,84,33.850000,1011,4.610000,80,1670935774,1670970797,20
1670929451,2022,12,13,04,04,11,38.410000,81,34.030000,1011,5.750000,70,1670935774,1670970797,40
1670933075,2022,12,13,05,04,35,38.250000,84,34.740000,1010,4.610000,70,1670935774,1670970797,75
1670936651,2022,12,13,06,04,11,38.880000,85,35.470000,1011,4.610000,70,1670935774,1670970797,75
1670940269,2022,12,13,07,04,29,41.200000,87,38.190000,1014,4.610000,70,1670935774,1670970797,75
1670943852,2022,12,13,08,04,12,45.900000,84,42.300000,1014,6.910000,140,1670935774,1670970797,75
1670947452,2022,12,13,09,04,12,50.650000,82,49.260000,1012,6.910000,100,1670935774,1670970797,75
1670950670,2022,12,13,09,57,50,54.810000,78,53.650000,1008,3.000000,184,1670935775,1670970797,51
1670954060,2022,12,13,10,54,20,57.970000,72,56.860000,1010,9.220000,130,1670935775,1670970797,75
1670957898,2022,12,13,11,58,18,59.230000,71,58.190000,1009,10.000000,203,1670935775,1670970797,100
1670961851,2022,12,13,13,04,11,58.890000,71,57.810000,1011,13.000000,160,1670935774,1670970797,100
1670965098,2022,12,13,13,58,18,58.510000,72,57.450000,1011,11.990000,150,1670935775,1670970797,100
1670969058,2022,12,13,15,04,18,57.090000,75,56.030000,1008,13.800000,140,1670935774,1670970797,100
1670972651,2022,12,13,16,04,11,56.680000,74,55.530000,1009,14.970000,160,1670935774,1670970797,100
1670976260,2022,12,13,17,04,20,56.160000,73,54.900000,1006,13.800000,150,1670935774,1670970797,100
1670979854,2022,12,13,18,04,14,55.580000,77,54.460000,991,11.010000,164,1670935774,1670970797,100
1670983452,2022,12,13,19,04,12,55.330000,76,54.140000,1008,11.500000,150,1670935774,1670970797,100
