utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545026,2022,12,08,17,17,06,55.260000,93,54.860000,1031,9.220000,200,1670506039,1670541454,20
1670548626,2022,12,08,18,17,06,53.890000,94,53.400000,1036,8.050000,210,1670506039,1670541454,0
1670552226,2022,12,08,19,17,06,53.460000,96,53.010000,1033,8.050000,300,1670506039,1670541454,100
1670555826,2022,12,08,20,17,06,53.290000,96,52.840000,1030,6.910000,300,1670506039,1670541454,100
1670559430,2022,12,08,21,17,10,52.750000,96,52.250000,1031,5.750000,330,1670506039,1670541454,100
1670563026,2022,12,08,22,17,06,50.830000,95,50.070000,1031,5.750000,360,1670506039,1670541454,100
1670566629,2022,12,08,23,17,09,50.160000,96,49.390000,1031,10.360000,340,1670592486,1670627859,20
1670570228,2022,12,09,00,17,08,50.180000,96,49.410000,1031,11.500000,350,1670592486,1670627859,100
1670573825,2022,12,09,01,17,05,50.610000,96,49.890000,1032,11.500000,10,1670592486,1670627859,100
1670577425,2022,12,09,02,17,05,48.470000,96,42.420000,1032,16.110000,20,1670592486,1670627859,100
1670581029,2022,12,09,03,17,09,44.620000,95,38.440000,1033,12.660000,10,1670592486,1670627859,75
1670584626,2022,12,09,04,17,06,41.340000,95,36.190000,1032,8.050000,360,1670592486,1670627859,20
1670588226,2022,12,09,05,17,06,39.290000,95,34.290000,1032,7.000000,8,1670592486,1670627859,20
1670591825,2022,12,09,06,17,05,37.940000,94,32.050000,1033,8.050000,350,1670592486,1670627859,40
1670595431,2022,12,09,07,17,11,37.870000,94,32.630000,1034,6.910000,360,1670592486,1670627859,75
1670599031,2022,12,09,08,17,11,40.030000,93,35.960000,1034,5.750000,10,1670592486,1670627859,75
1670602627,2022,12,09,09,17,07,44.100000,85,40.120000,1034,6.910000,20,1670592486,1670627859,75
1670606231,2022,12,09,10,17,11,47.610000,74,43.830000,1034,8.050000,10,1670592486,1670627859,75
1670609827,2022,12,09,11,17,07,51.030000,65,48.880000,1035,10.360000,30,1670592486,1670627859,75
1670613434,2022,12,09,12,17,14,52.340000,61,50.140000,1032,6.910000,90,1670592486,1670627859,75
1670617029,2022,12,09,13,17,09,54.210000,57,52.020000,1030,9.220000,50,1670592486,1670627859,75
1670620628,2022,12,09,14,17,08,55.000000,57,52.880000,1032,5.010000,42,1670592486,1670627859,75
1670624228,2022,12,09,15,17,08,54.280000,58,52.140000,1029,9.220000,100,1670592486,1670627859,75
1670627827,2022,12,09,16,17,07,53.330000,60,51.190000,1032,8.050000,90,1670592486,1670627859,100
1670631428,2022,12,09,17,17,08,52.210000,66,50.230000,1032,5.750000,100,1670592486,1670627859,100
1670635027,2022,12,09,18,17,07,50.340000,75,48.600000,1031,9.220000,90,1670592486,1670627859,100
1670638627,2022,12,09,19,17,07,50.160000,76,48.450000,1031,9.220000,90,1670592486,1670627859,100
1670642228,2022,12,09,20,17,08,47.550000,88,43.380000,1030,8.990000,133,1670592486,1670627859,100
1670645828,2022,12,09,21,17,08,47.120000,89,42.760000,1028,9.220000,130,1670592486,1670627859,100
1670649428,2022,12,09,22,17,08,47.500000,89,42.820000,1028,10.360000,130,1670592486,1670627859,100
1670653029,2022,12,09,23,17,09,47.590000,91,45.640000,1028,4.610000,350,1670678931,1670714266,100
1670656628,2022,12,10,00,17,08,47.430000,92,45.450000,1027,4.610000,340,1670678931,1670714266,100
1670660229,2022,12,10,01,17,09,47.160000,93,43.290000,1028,8.050000,320,1670678931,1670714266,100
1670663829,2022,12,10,02,17,09,46.510000,94,42.010000,1027,9.220000,340,1670678931,1670714266,100
1670667429,2022,12,10,03,17,09,46.310000,96,41.340000,1018,10.360000,350,1670678931,1670714266,100
1670671028,2022,12,10,04,17,08,46.580000,97,43.740000,1018,5.750000,10,1670678931,1670714266,100
1670674630,2022,12,10,05,17,10,46.810000,97,44.020000,1018,5.750000,30,1670678931,1670714266,100
1670678228,2022,12,10,06,17,08,46.080000,95,41.040000,1029,10.360000,10,1670678931,1670714266,100
1670681827,2022,12,10,07,17,07,45.970000,96,41.340000,1029,9.220000,40,1670678931,1670714266,100
1670685431,2022,12,10,08,17,11,46.470000,96,41.540000,1020,10.360000,10,1670678931,1670714266,100
1670689028,2022,12,10,09,17,08,47.410000,95,43.590000,1021,8.050000,10,1670678931,1670714266,100
1670692627,2022,12,10,10,17,07,48.380000,93,45.280000,1021,6.910000,350,1670678931,1670714266,100
1670696227,2022,12,10,11,17,07,48.560000,92,43.410000,1031,12.660000,360,1670678931,1670714266,100
1670699828,2022,12,10,12,17,08,48.250000,91,42.130000,1031,16.110000,360,1670678931,1670714266,100
1670703427,2022,12,10,13,17,07,48.290000,88,42.460000,1032,14.970000,10,1670678931,1670714266,100
1670707028,2022,12,10,14,17,08,48.250000,87,42.420000,1030,14.970000,20,1670678931,1670714266,100
1670710627,2022,12,10,15,17,07,48.000000,87,42.710000,1031,12.660000,20,1670678931,1670714266,100
1670714228,2022,12,10,16,17,08,47.520000,88,42.840000,1031,10.360000,20,1670678931,1670714266,100
1670717827,2022,12,10,17,17,07,47.100000,89,43.210000,1032,8.050000,50,1670678931,1670714266,100
1670721431,2022,12,10,18,17,11,46.150000,90,42.580000,1031,6.910000,40,1670678931,1670714266,100
1670725027,2022,12,10,19,17,07,45.090000,91,41.970000,1032,5.750000,50,1670678931,1670714266,100
1670728629,2022,12,10,20,17,09,42.760000,93,37.920000,1032,8.050000,360,1670678931,1670714266,75
1670732228,2022,12,10,21,17,08,41.400000,93,36.880000,1032,6.910000,10,1670678931,1670714266,40
1670735828,2022,12,10,22,17,08,40.060000,95,34.070000,1032,9.220000,20,1670678931,1670714266,20
1670739428,2022,12,10,23,17,08,39.430000,95,34.500000,1032,6.910000,10,1670765376,1670800675,75
1670743031,2022,12,11,00,17,11,39.670000,95,34.790000,1031,6.910000,40,1670765376,1670800675,100
1670746627,2022,12,11,01,17,07,39.360000,96,34.430000,1031,6.910000,30,1670765376,1670800675,100
1670750227,2022,12,11,02,17,07,39.960000,96,33.440000,1031,10.360000,50,1670765376,1670800675,100
1670753827,2022,12,11,03,17,07,39.850000,96,32.850000,1031,11.500000,40,1670765376,1670800675,100
1670757429,2022,12,11,04,17,09,39.400000,96,32.290000,1031,11.500000,50,1670765376,1670800675,100
1670761027,2022,12,11,05,17,07,38.700000,96,31.870000,1031,10.360000,40,1670765376,1670800675,100
1670764628,2022,12,11,06,17,08,38.350000,96,32.560000,1032,8.050000,60,1670765376,1670800675,100
1670768227,2022,12,11,07,17,07,38.320000,96,33.760000,1032,5.990000,39,1670765376,1670800675,100
1670771831,2022,12,11,08,17,11,39.090000,96,34.840000,1032,5.750000,120,1670765376,1670800675,100
1670775428,2022,12,11,09,17,08,40.150000,96,36.100000,1033,5.750000,150,1670765376,1670800675,100
1670779028,2022,12,11,10,17,08,41.130000,96,37.260000,1022,5.750000,140,1670765376,1670800675,100
1670782627,2022,12,11,11,17,07,42.660000,96,38.390000,1021,6.910000,160,1670765376,1670800675,100
1670786228,2022,12,11,12,17,08,43.160000,93,39.690000,1020,5.750000,200,1670765376,1670800675,100
1670789828,2022,12,11,13,17,08,44.460000,93,40.550000,1019,6.910000,200,1670765376,1670800675,100
1670793429,2022,12,11,14,17,09,44.710000,93,41.520000,1019,5.750000,190,1670765376,1670800675,100
