utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545033,2022,12,08,17,17,13,60.800000,81,60.390000,1021,4.610000,30,1670501113,1670536919,75
1670548633,2022,12,08,18,17,13,60.510000,79,59.970000,1022,8.050000,60,1670501113,1670536919,100
1670552232,2022,12,08,19,17,12,58.950000,78,58.210000,1022,5.750000,40,1670501113,1670536919,75
1670555832,2022,12,08,20,17,12,58.750000,78,57.990000,1022,5.750000,50,1670501113,1670536919,100
1670559439,2022,12,08,21,17,19,58.150000,77,57.290000,1021,8.050000,60,1670501113,1670536919,100
1670563033,2022,12,08,22,17,13,57.630000,77,56.710000,1021,8.050000,50,1670587558,1670623326,100
1670566640,2022,12,08,23,17,20,57.130000,78,56.210000,1020,6.910000,30,1670587558,1670623326,100
1670570236,2022,12,09,00,17,16,56.350000,76,55.260000,1020,9.220000,40,1670587558,1670623326,100
1670573832,2022,12,09,01,17,12,55.220000,78,54.100000,1020,12.660000,40,1670587558,1670623326,100
1670577432,2022,12,09,02,17,12,53.370000,82,52.250000,1020,5.750000,50,1670587558,1670623326,100
1670581039,2022,12,09,03,17,19,52.630000,87,51.670000,1020,12.660000,30,1670587558,1670623326,100
1670584632,2022,12,09,04,17,12,52.140000,85,51.040000,1021,3.000000,55,1670587558,1670623326,100
1670588099,2022,12,09,05,14,59,51.460000,87,50.400000,1021,12.660000,30,1670587559,1670623325,100
1670591831,2022,12,09,06,17,11,50.520000,86,49.320000,1021,10.360000,40,1670587558,1670623326,100
1670595445,2022,12,09,07,17,25,51.600000,88,50.590000,1022,9.220000,30,1670587558,1670623326,100
1670599040,2022,12,09,08,17,20,53.290000,84,52.270000,1022,11.500000,30,1670587558,1670623326,100
1670602633,2022,12,09,09,17,13,54.280000,80,53.170000,1022,13.800000,30,1670587558,1670623326,100
1670606243,2022,12,09,10,17,23,55.060000,77,53.890000,1021,11.500000,10,1670587558,1670623326,100
1670609833,2022,12,09,11,17,13,55.900000,75,54.720000,1020,6.910000,30,1670587558,1670623326,100
1670613442,2022,12,09,12,17,22,58.570000,68,57.330000,1020,12.660000,10,1670587558,1670623326,40
