utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670545032,2022,12,08,17,17,12,54.320000,94,53.870000,1023,6.910000,60,1670501962,1670537190,100
1670548632,2022,12,08,18,17,12,53.280000,96,52.810000,1023,8.050000,90,1670501962,1670537190,100
1670552231,2022,12,08,19,17,11,52.830000,96,52.320000,1023,6.910000,80,1670501962,1670537190,100
1670555831,2022,12,08,20,17,11,52.340000,95,51.750000,1022,6.910000,80,1670501962,1670537190,100
1670559436,2022,12,08,21,17,16,52.180000,95,51.570000,1022,4.610000,60,1670501962,1670537190,100
1670563032,2022,12,08,22,17,12,51.310000,96,50.670000,1023,8.050000,30,1670588409,1670623595,100
1670566638,2022,12,08,23,17,18,50.360000,95,49.570000,1023,6.910000,60,1670588409,1670623595,100
1670570235,2022,12,09,00,17,15,49.710000,96,46.380000,1022,8.100000,62,1670588409,1670623595,100
1670573831,2022,12,09,01,17,11,49.320000,96,46.400000,1023,6.910000,70,1670588409,1670623595,100
1670577431,2022,12,09,02,17,11,48.940000,95,45.450000,1023,8.050000,40,1670588409,1670623595,100
1670581037,2022,12,09,03,17,17,48.240000,96,45.100000,1023,6.910000,50,1670588409,1670623595,100
1670584631,2022,12,09,04,17,11,47.190000,95,42.420000,1023,10.360000,50,1670588409,1670623595,100
1670588233,2022,12,09,05,17,13,46.650000,96,42.350000,1023,8.790000,57,1670588409,1670623595,100
1670591830,2022,12,09,06,17,10,46.690000,96,43.860000,1024,5.750000,80,1670588409,1670623595,100
1670595443,2022,12,09,07,17,23,46.620000,95,44.510000,1024,4.610000,80,1670588409,1670623595,100
1670599038,2022,12,09,08,17,18,46.290000,96,42.220000,1025,8.050000,50,1670588409,1670623595,100
1670602632,2022,12,09,09,17,12,46.450000,96,43.590000,1024,5.750000,60,1670588409,1670623595,100
1670606240,2022,12,09,10,17,20,46.420000,96,42.910000,1024,6.910000,60,1670588409,1670623595,100
1670609832,2022,12,09,11,17,12,46.360000,95,42.850000,1023,6.910000,360,1670588409,1670623595,100
