utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544911,2022,12,08,17,15,11,26.370000,83,20.210000,1020,5.260000,180,1670507341,1670541008,83
1670548506,2022,12,08,18,15,06,26.440000,85,19.080000,1020,6.640000,206,1670507341,1670541008,20
1670552107,2022,12,08,19,15,07,25.110000,88,15.130000,1021,10.090000,262,1670507341,1670541008,21
1670555706,2022,12,08,20,15,06,26.150000,88,15.850000,1021,11.140000,286,1670507341,1670541008,20
1670559311,2022,12,08,21,15,11,25.630000,88,15.260000,1021,11.030000,285,1670507341,1670541008,18
1670562907,2022,12,08,22,15,07,25.630000,83,14.050000,1021,13.510000,290,1670507341,1670541008,22
1670566516,2022,12,08,23,15,16,27.270000,83,16.030000,1022,13.760000,295,1670593793,1670627408,36
1670570118,2022,12,09,00,15,18,26.670000,87,16.120000,1023,11.920000,300,1670593793,1670627408,16
1670573707,2022,12,09,01,15,07,26.960000,90,17.550000,1023,9.890000,293,1670593793,1670627408,14
1670577307,2022,12,09,02,15,07,26.150000,91,16.750000,1024,9.510000,293,1670593793,1670627408,13
1670580911,2022,12,09,03,15,11,24.460000,91,14.720000,1024,9.420000,288,1670593793,1670627408,11
1670584508,2022,12,09,04,15,08,23.470000,89,13.590000,1024,9.310000,298,1670593793,1670627408,11
1670588111,2022,12,09,05,15,11,23.830000,87,14.900000,1024,7.990000,311,1670593793,1670627408,9
1670591707,2022,12,09,06,15,07,22.140000,83,13.240000,1024,7.450000,321,1670593793,1670627408,5
1670595310,2022,12,09,07,15,10,21.090000,80,12.130000,1025,7.270000,313,1670593793,1670627408,5
1670598910,2022,12,09,08,15,10,22.060000,68,15.390000,1024,5.010000,307,1670593793,1670627408,5
1670602510,2022,12,09,09,15,10,27.700000,52,21.990000,1023,5.030000,329,1670593793,1670627408,10
1670606107,2022,12,09,10,15,07,31.300000,44,27.790000,1022,3.560000,324,1670593793,1670627408,28
1670609711,2022,12,09,11,15,11,36.700000,38,34.630000,1020,3.000000,227,1670593793,1670627408,40
1670613307,2022,12,09,12,15,07,37.130000,32,32.700000,1019,5.500000,207,1670593793,1670627408,100
1670616909,2022,12,09,13,15,09,38.230000,29,33.750000,1018,5.860000,201,1670593793,1670627408,100
1670620511,2022,12,09,14,15,11,39.790000,27,34.200000,1017,8.280000,191,1670593793,1670627408,96
1670624106,2022,12,09,15,15,06,39.790000,29,34.210000,1017,8.250000,180,1670593793,1670627408,78
1670627707,2022,12,09,16,15,07,36.320000,38,30.430000,1017,7.450000,159,1670593793,1670627408,64
1670631307,2022,12,09,17,15,07,32.320000,46,25.020000,1018,8.370000,166,1670593793,1670627408,55
1670634907,2022,12,09,18,15,07,28.780000,50,20.820000,1020,8.160000,170,1670593793,1670627408,11
1670638507,2022,12,09,19,15,07,27.970000,55,20.010000,1020,7.900000,169,1670593793,1670627408,21
1670642107,2022,12,09,20,15,07,25.830000,55,17.730000,1020,7.450000,167,1670593793,1670627408,47
1670645706,2022,12,09,21,15,06,25.770000,61,17.600000,1019,7.520000,179,1670593793,1670627408,64
1670649309,2022,12,09,22,15,09,24.960000,61,16.250000,1020,8.030000,183,1670593793,1670627408,57
1670652907,2022,12,09,23,15,07,23.850000,64,14.590000,1020,8.460000,188,1670680243,1670713811,44
1670656509,2022,12,10,00,15,09,23.700000,66,14.720000,1020,8.030000,212,1670680243,1670713811,0
1670660107,2022,12,10,01,15,07,23.560000,64,14.220000,1021,8.500000,238,1670680243,1670713811,0
1670663717,2022,12,10,02,15,17,24.820000,58,15.330000,1021,9.150000,249,1670680243,1670713811,0
1670667313,2022,12,10,03,15,13,23.740000,52,13.910000,1020,9.310000,276,1670680243,1670713811,0
1670670910,2022,12,10,04,15,10,26.280000,50,16.380000,1021,10.450000,286,1670680243,1670713811,0
1670674507,2022,12,10,05,15,07,26.820000,54,17.580000,1021,9.510000,289,1670680243,1670713811,0
1670678112,2022,12,10,06,15,12,27.770000,59,19.090000,1022,8.950000,292,1670680243,1670713811,0
1670681707,2022,12,10,07,15,07,26.290000,63,17.350000,1023,8.840000,294,1670680243,1670713811,0
1670685307,2022,12,10,08,15,07,27.540000,54,18.520000,1024,9.420000,307,1670680243,1670713811,0
1670688914,2022,12,10,09,15,14,32.560000,42,23.920000,1023,11.030000,326,1670680243,1670713811,0
1670692507,2022,12,10,10,15,07,37.960000,34,31.260000,1023,9.660000,338,1670680243,1670713811,0
1670696107,2022,12,10,11,15,07,41.180000,29,36.250000,1022,7.580000,349,1670680243,1670713811,0
1670699707,2022,12,10,12,15,07,45.010000,26,40.770000,1021,7.830000,350,1670680243,1670713811,0
1670703307,2022,12,10,13,15,07,46.870000,25,44.200000,1020,5.530000,352,1670680243,1670713811,0
1670706907,2022,12,10,14,15,07,46.870000,24,46.870000,1020,1.970000,318,1670680243,1670713811,0
1670710507,2022,12,10,15,15,07,45.700000,26,45.700000,1020,1.300000,147,1670680243,1670713811,0
1670714107,2022,12,10,16,15,07,42.220000,32,39.380000,1020,4.610000,105,1670680243,1670713811,0
1670717707,2022,12,10,17,15,07,35.800000,37,31.060000,1021,5.590000,167,1670680243,1670713811,0
1670721329,2022,12,10,18,15,29,34.520000,39,28.900000,1022,6.440000,185,1670680243,1670713811,0
1670724906,2022,12,10,19,15,06,33.130000,40,26.670000,1023,7.290000,186,1670680243,1670713811,0
1670728513,2022,12,10,20,15,13,30.520000,41,22.860000,1023,8.300000,184,1670680243,1670713811,2
1670732107,2022,12,10,21,15,07,29.140000,42,21.330000,1023,8.050000,186,1670680243,1670713811,2
1670735707,2022,12,10,22,15,07,27.640000,42,19.490000,1023,8.080000,188,1670680243,1670713811,1
1670739307,2022,12,10,23,15,07,28.020000,42,19.830000,1023,8.250000,186,1670766691,1670800216,1
1670742907,2022,12,11,00,15,07,26.640000,42,18.100000,1022,8.320000,187,1670766691,1670800216,2
1670746507,2022,12,11,01,15,07,26.190000,46,17.690000,1023,8.120000,186,1670766691,1670800216,3
1670750107,2022,12,11,02,15,07,25.660000,46,16.680000,1023,8.680000,183,1670766691,1670800216,29
1670753709,2022,12,11,03,15,09,27.460000,45,18.880000,1022,8.680000,181,1670766691,1670800216,45
1670757310,2022,12,11,04,15,10,26.330000,46,17.490000,1022,8.680000,182,1670766691,1670800216,38
1670760907,2022,12,11,05,15,07,25.070000,47,16.090000,1022,8.480000,182,1670766691,1670800216,33
1670764508,2022,12,11,06,15,08,22.590000,49,12.760000,1022,8.900000,180,1670766691,1670800216,13
1670768107,2022,12,11,07,15,07,19.960000,48,9.410000,1022,9.080000,176,1670766691,1670800216,11
1670771709,2022,12,11,08,15,09,24.100000,40,13.860000,1021,10.130000,174,1670766691,1670800216,19
1670775307,2022,12,11,09,15,07,33.820000,32,24.390000,1020,13.730000,175,1670766691,1670800216,18
1670778907,2022,12,11,10,15,07,39.490000,28,30.990000,1018,15.610000,172,1670766691,1670800216,17
1670782507,2022,12,11,11,15,07,42.510000,26,34.520000,1017,16.930000,170,1670766691,1670800216,16
1670786109,2022,12,11,12,15,09,45.820000,25,38.590000,1015,17.870000,170,1670766691,1670800216,14
1670789707,2022,12,11,13,15,07,46.920000,23,39.830000,1014,18.750000,169,1670766691,1670800216,7
1670793309,2022,12,11,14,15,09,46.870000,24,39.940000,1013,17.900000,168,1670766691,1670800216,7
1670796907,2022,12,11,15,15,07,46.290000,25,39.720000,1013,15.640000,164,1670766691,1670800216,16
1670800507,2022,12,11,16,15,07,44.150000,28,37.000000,1013,15.550000,158,1670766691,1670800216,27
1670804107,2022,12,11,17,15,07,38.820000,32,30.760000,1014,13.670000,152,1670766691,1670800216,26
1670807710,2022,12,11,18,15,10,36.320000,37,27.460000,1014,13.980000,151,1670766691,1670800216,4
1670811306,2022,12,11,19,15,06,33.820000,43,24.080000,1014,14.520000,153,1670766691,1670800216,2
1670814907,2022,12,11,20,15,07,30.220000,60,19.900000,1015,13.470000,153,1670766691,1670800216,3
1670818507,2022,12,11,21,15,07,29.500000,71,19.000000,1015,13.440000,157,1670766691,1670800216,4
1670822107,2022,12,11,22,15,07,30.790000,80,20.350000,1014,14.200000,157,1670766691,1670800216,19
1670825710,2022,12,11,23,15,10,30.790000,83,20.230000,1014,14.500000,156,1670853138,1670886623,32
1670829306,2022,12,12,00,15,06,31.590000,85,21.330000,1014,14.270000,154,1670853138,1670886623,98
1670832907,2022,12,12,01,15,07,31.590000,88,21.630000,1013,13.510000,149,1670853138,1670886623,99
1670836507,2022,12,12,02,15,07,32.110000,93,22.510000,1013,12.970000,146,1670853138,1670886623,92
1670840108,2022,12,12,03,15,08,32.110000,96,22.510000,1013,12.970000,146,1670853138,1670886623,93
1670843708,2022,12,12,04,15,08,32.940000,97,23.450000,1013,13.240000,148,1670853138,1670886623,99
1670847307,2022,12,12,05,15,07,34.630000,97,25.570000,1012,13.290000,147,1670853138,1670886623,99
1670850907,2022,12,12,06,15,07,35.440000,95,25.630000,1012,16.130000,153,1670853138,1670886623,100
1670853727,2022,12,12,07,02,07,36.480000,96,26.870000,1012,16.440000,151,1670853138,1670886623,100
1670857332,2022,12,12,08,02,12,37.740000,96,28.360000,1011,16.890000,151,1670853138,1670886623,100
1670860927,2022,12,12,09,02,07,39.690000,96,31.140000,1010,15.990000,142,1670853138,1670886623,100
1670864527,2022,12,12,10,02,07,40.950000,94,32.320000,1010,17.560000,148,1670853138,1670886623,100
1670868127,2022,12,12,11,02,07,41.610000,93,33.260000,1008,17.310000,150,1670853138,1670886623,100
1670871727,2022,12,12,12,02,07,42.890000,95,35.010000,1007,16.960000,148,1670853138,1670886623,100
1670875336,2022,12,12,13,02,16,42.890000,96,35.260000,1006,15.970000,142,1670853138,1670886623,100
1670878930,2022,12,12,14,02,10,43.630000,97,36.140000,1005,16.260000,142,1670853138,1670886623,100
1670882530,2022,12,12,15,02,10,44.820000,97,37.490000,1005,16.960000,143,1670853138,1670886623,100
1670886127,2022,12,12,16,02,07,44.960000,97,37.360000,1004,18.320000,144,1670853138,1670886623,100
1670889730,2022,12,12,17,02,10,44.820000,97,36.990000,1004,19.100000,142,1670853138,1670886623,100
1670893326,2022,12,12,18,02,06,44.820000,97,37.020000,1003,18.970000,140,1670853138,1670886623,100
1670896927,2022,12,12,19,02,07,45.480000,97,38.080000,1003,18.140000,140,1670853138,1670886623,100
1670900527,2022,12,12,20,02,07,44.960000,97,37.490000,1002,17.740000,144,1670853138,1670886623,100
1670904126,2022,12,12,21,02,06,44.960000,97,37.510000,1002,17.650000,154,1670853138,1670886623,100
