utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544916,2022,12,08,17,15,16,32.560000,90,32.560000,1026,0.000000,0,1670504083,1670537372,100
1670547976,2022,12,08,18,06,16,32.340000,91,32.340000,1026,0.000000,0,1670504083,1670537371,100
1670552112,2022,12,08,19,15,12,31.750000,91,31.750000,1026,0.000000,0,1670504083,1670537372,100
1670555713,2022,12,08,20,15,13,33.530000,90,33.530000,1026,0.000000,0,1670504083,1670537372,100
1670559319,2022,12,08,21,15,19,32.950000,90,27.570000,1026,5.750000,70,1670504083,1670537372,100
1670562913,2022,12,08,22,15,13,32.270000,91,24.480000,1026,9.220000,100,1670590536,1670623771,40
1670566531,2022,12,08,23,15,31,31.300000,95,22.680000,1025,10.360000,90,1670590536,1670623771,20
1670570126,2022,12,09,00,15,26,31.640000,91,23.700000,1026,9.220000,90,1670590536,1670623771,20
1670573711,2022,12,09,01,15,11,30.160000,92,20.710000,1025,11.500000,90,1670590536,1670623771,0
1670577312,2022,12,09,02,15,12,30.270000,90,20.320000,1025,12.660000,90,1670590536,1670623771,20
1670580918,2022,12,09,03,15,18,29.590000,88,19.450000,1024,12.660000,90,1670590536,1670623771,20
1670584515,2022,12,09,04,15,15,29.590000,88,20.550000,1024,10.360000,80,1670590536,1670623771,75
1670588116,2022,12,09,05,15,16,30.290000,90,19.870000,1024,13.800000,80,1670590536,1670623771,100
1670591715,2022,12,09,06,15,15,31.140000,87,20.950000,1024,13.800000,90,1670590536,1670623771,100
1670595322,2022,12,09,07,15,22,31.480000,86,21.850000,1024,12.660000,90,1670590536,1670623771,100
1670598926,2022,12,09,08,15,26,33.280000,86,23.230000,1024,14.970000,110,1670590536,1670623771,20
1670602517,2022,12,09,09,15,17,33.930000,85,24.490000,1023,13.800000,100,1670590536,1670623771,100
1670606115,2022,12,09,10,15,15,34.250000,86,23.050000,1022,19.570000,90,1670590536,1670623771,100
1670609715,2022,12,09,11,15,15,35.350000,86,26.730000,1022,12.660000,80,1670590536,1670623771,100
1670613324,2022,12,09,12,15,24,35.370000,87,25.920000,1021,14.970000,70,1670590536,1670623771,100
