utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544912,2022,12,08,17,15,12,35.960000,94,31.140000,1019,5.750000,80,1670506632,1670540102,100
1670548507,2022,12,08,18,15,07,36.140000,95,29.860000,1019,8.050000,110,1670506632,1670540102,100
1670552108,2022,12,08,19,15,08,36.680000,95,31.190000,1018,6.910000,110,1670506632,1670540102,100
1670555708,2022,12,08,20,15,08,36.820000,96,30.070000,1018,9.220000,110,1670506632,1670540102,100
1670559313,2022,12,08,21,15,13,36.970000,96,31.530000,1017,6.910000,130,1670506632,1670540102,100
1670562908,2022,12,08,22,15,08,36.700000,96,32.940000,1016,4.610000,270,1670506632,1670540102,100
1670566519,2022,12,08,23,15,19,34.810000,95,28.240000,1017,8.050000,270,1670593085,1670626502,100
1670570119,2022,12,09,00,15,19,33.600000,95,25.540000,1017,10.360000,260,1670593085,1670626502,100
1670573708,2022,12,09,01,15,08,32.970000,95,24.220000,1017,11.500000,260,1670593085,1670626502,100
1670577308,2022,12,09,02,15,08,32.540000,93,23.180000,1017,12.660000,270,1670593085,1670626502,100
1670580913,2022,12,09,03,15,13,33.240000,94,24.570000,1017,11.500000,280,1670593085,1670626502,100
1670584512,2022,12,09,04,15,12,33.640000,96,24.570000,1017,12.660000,310,1670593085,1670626502,100
1670588113,2022,12,09,05,15,13,33.490000,96,24.870000,1018,11.500000,310,1670593085,1670626502,100
1670591708,2022,12,09,06,15,08,33.300000,96,24.640000,1019,11.500000,310,1670593085,1670626502,100
1670595312,2022,12,09,07,15,12,33.120000,95,23.920000,1020,12.660000,310,1670593085,1670626502,100
1670598912,2022,12,09,08,15,12,33.440000,95,24.820000,1020,11.500000,320,1670593085,1670626502,100
1670602511,2022,12,09,09,15,11,34.210000,95,25.300000,1021,12.660000,330,1670593085,1670626502,100
1670606108,2022,12,09,10,15,08,34.560000,94,25.290000,1021,13.800000,330,1670593085,1670626502,100
1670609356,2022,12,09,11,09,16,35.690000,92,28.130000,1021,10.360000,340,1670593087,1670626502,100
1670613309,2022,12,09,12,15,09,36.270000,90,31.500000,1021,5.750000,340,1670593085,1670626502,100
1670616913,2022,12,09,13,15,13,36.270000,90,30.690000,1021,6.910000,330,1670593085,1670626502,100
1670620512,2022,12,09,14,15,12,36.120000,90,33.440000,1020,3.440000,260,1670593085,1670626502,100
1670624107,2022,12,09,15,15,07,36.000000,89,32.110000,1021,4.610000,300,1670593085,1670626502,100
1670627709,2022,12,09,16,15,09,35.690000,89,32.940000,1021,3.440000,20,1670593085,1670626502,100
1670631308,2022,12,09,17,15,08,35.280000,90,30.330000,1021,5.750000,200,1670593085,1670626502,100
1670634908,2022,12,09,18,15,08,35.240000,90,31.230000,1021,4.610000,200,1670593085,1670626502,100
1670638508,2022,12,09,19,15,08,34.590000,91,29.520000,1021,5.750000,180,1670593085,1670626502,100
1670642108,2022,12,09,20,15,08,34.230000,90,29.080000,1021,5.750000,200,1670593085,1670626502,100
1670645707,2022,12,09,21,15,07,33.850000,91,29.610000,1020,4.610000,160,1670593085,1670626502,100
1670649310,2022,12,09,22,15,10,33.390000,92,27.230000,1021,6.910000,140,1670593085,1670626502,100
1670652908,2022,12,09,23,15,08,32.670000,92,27.230000,1021,5.750000,180,1670679535,1670712904,100
1670656511,2022,12,10,00,15,11,32.450000,93,23.580000,1020,11.500000,180,1670679535,1670712904,100
1670660108,2022,12,10,01,15,08,32.630000,94,27.180000,1021,5.750000,180,1670679535,1670712904,100
