utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544905,2022,12,08,17,15,05,21.310000,68,13.750000,1022,5.750000,230,1670509429,1670542693,0
1670548504,2022,12,08,18,15,04,21.310000,73,16.520000,1023,3.440000,0,1670509429,1670542693,0
1670551645,2022,12,08,19,07,25,21.250000,68,8.650000,1023,16.110000,240,1670509431,1670542694,0
1670555393,2022,12,08,20,09,53,19.450000,68,8.690000,1023,9.220000,240,1670509431,1670542694,0
1670558968,2022,12,08,21,09,28,19.450000,68,7.950000,1022,10.360000,250,1670509431,1670542694,0
1670562527,2022,12,08,22,08,47,19.450000,73,9.540000,1022,8.050000,240,1670509431,1670542694,0
1670566512,2022,12,08,23,15,12,17.710000,73,6.550000,1021,9.220000,240,1670509429,1670542693,0
1670570115,2022,12,09,00,15,15,10.510000,79,2.350000,1021,4.610000,220,1670595882,1670629093,0
1670573705,2022,12,09,01,15,05,12.310000,79,4.460000,1020,4.610000,160,1670595882,1670629093,0
1670577305,2022,12,09,02,15,05,15.910000,73,10.350000,1020,3.440000,130,1670595882,1670629093,0
1670580908,2022,12,09,03,15,08,21.310000,68,10.980000,1019,9.220000,200,1670595882,1670629093,0
1670584506,2022,12,09,04,15,06,24.910000,68,15.400000,1018,9.220000,210,1670595882,1670629093,0
1670588109,2022,12,09,05,15,09,24.910000,68,13.010000,1017,13.800000,210,1670595882,1670629093,0
1670591705,2022,12,09,06,15,05,24.910000,68,12.310000,1016,20.710000,210,1670595882,1670629093,0
1670595306,2022,12,09,07,15,06,26.710000,63,14.110000,1016,27.630000,220,1670595882,1670629093,0
1670598907,2022,12,09,08,15,07,26.710000,59,14.110000,1015,18.410000,190,1670595882,1670629093,0
1670602508,2022,12,09,09,15,08,28.510000,50,15.910000,1015,25.320000,210,1670595882,1670629093,20
1670606105,2022,12,09,10,15,05,28.510000,50,15.910000,1015,25.320000,220,1670595882,1670629093,100
1670609709,2022,12,09,11,15,09,30.310000,51,17.710000,1015,29.930000,210,1670595882,1670629093,20
1670613305,2022,12,09,12,15,05,30.310000,55,17.710000,1014,27.630000,220,1670595882,1670629093,20
1670616906,2022,12,09,13,15,06,30.310000,55,17.710000,1014,26.460000,220,1670595882,1670629093,0
1670620508,2022,12,09,14,15,08,28.510000,59,15.910000,1013,23.020000,230,1670595882,1670629093,75
1670624104,2022,12,09,15,15,04,30.310000,59,17.710000,1014,23.020000,240,1670595882,1670629093,75
1670627705,2022,12,09,16,15,05,28.510000,64,16.700000,1015,16.110000,240,1670595882,1670629093,100
1670631305,2022,12,09,17,15,05,26.710000,74,14.110000,1015,17.270000,240,1670595882,1670629093,100
1670634905,2022,12,09,18,15,05,26.710000,74,14.110000,1015,17.270000,250,1670595882,1670629093,100
1670638505,2022,12,09,19,15,05,24.910000,68,12.310000,1016,16.110000,250,1670595882,1670629093,100
1670642105,2022,12,09,20,15,05,23.110000,68,10.510000,1017,24.160000,250,1670595882,1670629093,0
1670645704,2022,12,09,21,15,04,23.110000,63,10.510000,1018,26.460000,260,1670595882,1670629093,0
1670649306,2022,12,09,22,15,06,21.310000,63,8.710000,1018,21.850000,270,1670595882,1670629093,0
1670652904,2022,12,09,23,15,04,19.510000,68,6.910000,1018,18.410000,250,1670595882,1670629093,0
1670656507,2022,12,10,00,15,07,19.510000,68,10.530000,1020,6.910000,0,1670682333,1670715494,0
1670660105,2022,12,10,01,15,05,15.910000,73,3.310000,1019,12.660000,220,1670682333,1670715494,0
1670663709,2022,12,10,02,15,09,15.910000,79,4.330000,1020,9.220000,230,1670682333,1670715494,75
1670667307,2022,12,10,03,15,07,17.710000,73,8.350000,1020,6.910000,250,1670682333,1670715494,20
1670670907,2022,12,10,04,15,07,15.910000,79,8.650000,1019,4.610000,230,1670682333,1670715494,0
1670674505,2022,12,10,05,15,05,19.510000,73,8.020000,1019,10.360000,230,1670682333,1670715494,0
1670678108,2022,12,10,06,15,08,21.310000,68,15.730000,1019,4.000000,217,1670682333,1670715494,0
1670681704,2022,12,10,07,15,04,21.310000,68,11.790000,1019,8.050000,220,1670682333,1670715494,0
1670685305,2022,12,10,08,15,05,21.310000,68,11.790000,1018,8.050000,210,1670682333,1670715494,0
1670688911,2022,12,10,09,15,11,26.710000,54,22.680000,1019,3.440000,240,1670682333,1670715494,0
1670692505,2022,12,10,10,15,05,33.910000,47,21.430000,1018,24.160000,230,1670682333,1670715494,0
1670696105,2022,12,10,11,15,05,35.710000,44,24.960000,1018,19.570000,230,1670682333,1670715494,0
1670699705,2022,12,10,12,15,05,35.710000,44,25.610000,1018,17.270000,210,1670682333,1670715494,0
1670703305,2022,12,10,13,15,05,35.710000,41,24.390000,1017,21.850000,210,1670682333,1670715494,0
1670706905,2022,12,10,14,15,05,35.710000,38,24.660000,1016,20.710000,220,1670682333,1670715494,0
1670710505,2022,12,10,15,15,05,33.910000,44,23.290000,1016,17.270000,220,1670682333,1670715494,0
1670714105,2022,12,10,16,15,05,33.910000,40,21.310000,1015,25.320000,220,1670682333,1670715494,0
1670717705,2022,12,10,17,15,05,32.110000,43,19.510000,1014,23.020000,210,1670682333,1670715494,0
1670721318,2022,12,10,18,15,18,30.310000,47,19.020000,1015,16.110000,240,1670682333,1670715494,0
1670724904,2022,12,10,19,15,04,32.110000,43,19.920000,1015,20.710000,230,1670682333,1670715494,0
1670728510,2022,12,10,20,15,10,32.110000,43,20.950000,1015,17.270000,220,1670682333,1670715494,0
1670732105,2022,12,10,21,15,05,33.910000,40,21.990000,1015,21.850000,220,1670682333,1670715494,0
1670735705,2022,12,10,22,15,05,33.910000,40,22.950000,1014,18.410000,220,1670682333,1670715494,0
1670739305,2022,12,10,23,15,05,35.710000,38,24.390000,1014,21.850000,210,1670682333,1670715494,0
1670742905,2022,12,11,00,15,05,35.710000,41,23.830000,1014,24.160000,210,1670768783,1670801898,0
1670746505,2022,12,11,01,15,05,35.710000,44,23.340000,1014,26.460000,220,1670768783,1670801898,0
1670750105,2022,12,11,02,15,05,35.710000,41,23.580000,1014,25.320000,210,1670768783,1670801898,0
1670753706,2022,12,11,03,15,06,35.710000,48,24.390000,1014,21.850000,220,1670768783,1670801898,0
1670757307,2022,12,11,04,15,07,35.710000,44,25.290000,1013,18.410000,220,1670768783,1670801898,0
1670760905,2022,12,11,05,15,05,33.910000,44,24.460000,1012,13.800000,230,1670768783,1670801898,0
1670764505,2022,12,11,06,15,05,37.510000,35,27.320000,1012,19.570000,220,1670768783,1670801898,20
1670768105,2022,12,11,07,15,05,35.710000,41,25.970000,1013,16.110000,220,1670768783,1670801898,75
1670771706,2022,12,11,08,15,06,35.710000,41,25.970000,1012,16.110000,210,1670768783,1670801898,75
1670775305,2022,12,11,09,15,05,37.510000,38,27.320000,1011,19.570000,200,1670768783,1670801898,0
1670778905,2022,12,11,10,15,05,39.310000,35,28.630000,1011,24.160000,200,1670768783,1670801898,0
1670782505,2022,12,11,11,15,05,42.910000,31,33.010000,1010,26.460000,210,1670768783,1670801898,0
1670786106,2022,12,11,12,15,06,42.910000,31,33.210000,1009,25.320000,210,1670768783,1670801898,0
