utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1670544903,2022,12,08,17,15,03,51.260000,77,49.710000,1022,16.110000,180,1670512375,1670547057,100
1670548494,2022,12,08,18,14,54,50.360000,79,48.810000,1022,11.010000,136,1670512376,1670547056,100
1670552102,2022,12,08,19,15,02,49.980000,78,45.210000,1021,12.660000,150,1670512375,1670547057,75
1670555476,2022,12,08,20,11,16,50.250000,79,48.690000,1021,11.010000,122,1670512376,1670547056,100
1670559301,2022,12,08,21,15,01,49.410000,83,43.380000,1021,17.270000,180,1670512375,1670547057,100
1670562902,2022,12,08,22,15,02,48.310000,90,43.810000,1022,10.360000,170,1670512375,1670547057,100
1670566502,2022,12,08,23,15,02,47.440000,91,44.620000,1022,5.990000,231,1670512375,1670547057,75
1670570102,2022,12,09,00,15,02,47.010000,91,42.330000,1022,10.000000,293,1670512375,1670547057,40
1670573702,2022,12,09,01,15,02,46.330000,86,42.300000,1022,8.010000,271,1670598824,1670633461,40
1670577302,2022,12,09,02,15,02,45.460000,88,42.260000,1022,5.990000,278,1670598824,1670633461,20
1670580902,2022,12,09,03,15,02,44.850000,89,41.680000,1022,5.750000,270,1670598824,1670633461,20
1670584501,2022,12,09,04,15,01,44.380000,88,41.610000,1022,5.010000,281,1670598824,1670633461,20
1670588102,2022,12,09,05,15,02,43.920000,89,41.360000,1022,4.610000,160,1670598824,1670633461,20
1670591702,2022,12,09,06,15,02,43.660000,89,42.060000,1022,3.440000,180,1670598824,1670633461,40
1670595302,2022,12,09,07,15,02,43.140000,87,41.920000,1022,3.000000,68,1670598824,1670633461,0
1670598901,2022,12,09,08,15,01,42.750000,84,39.180000,1021,5.750000,170,1670598824,1670633461,20
1670602063,2022,12,09,09,07,43,43.630000,84,41.500000,1021,4.000000,45,1670598824,1670633460,20
1670606102,2022,12,09,10,15,02,45.590000,85,44.690000,1023,3.000000,90,1670598824,1670633461,20
1670609705,2022,12,09,11,15,05,48.450000,83,47.080000,1023,4.000000,77,1670598824,1670633461,20
1670613180,2022,12,09,12,13,00,50.470000,80,48.970000,1022,4.610000,50,1670598824,1670633460,75
1670616683,2022,12,09,13,11,23,51.510000,76,49.930000,1021,5.750000,80,1670598824,1670633460,75
1670619987,2022,12,09,14,06,27,51.930000,73,50.250000,1020,4.610000,70,1670598824,1670633458,75
1670624101,2022,12,09,15,15,01,50.520000,70,48.560000,1019,5.750000,100,1670598824,1670633461,100
1670627702,2022,12,09,16,15,02,50.610000,67,48.520000,1019,3.000000,130,1670598824,1670633461,100
1670631302,2022,12,09,17,15,02,50.250000,67,48.130000,1019,1.990000,145,1670598824,1670633461,100
1670634902,2022,12,09,18,15,02,48.380000,73,48.380000,1018,1.010000,221,1670598824,1670633461,100
1670638502,2022,12,09,19,15,02,47.410000,77,47.410000,1018,1.010000,224,1670598824,1670633461,100
1670642102,2022,12,09,20,15,02,47.520000,79,46.000000,1018,4.000000,238,1670598824,1670633461,100
1670645701,2022,12,09,21,15,01,47.410000,80,45.430000,1017,4.610000,240,1670598824,1670633461,100
1670649302,2022,12,09,22,15,02,47.500000,80,42.820000,1017,10.360000,220,1670598824,1670633461,100
1670652902,2022,12,09,23,15,02,47.710000,81,43.950000,1016,8.050000,150,1670598824,1670633461,100
1670656502,2022,12,10,00,15,02,48.040000,79,44.370000,1016,8.010000,166,1670598824,1670633461,100
1670660102,2022,12,10,01,15,02,48.430000,78,42.640000,1015,14.970000,160,1670685271,1670719866,100
1670663703,2022,12,10,02,15,03,49.050000,77,43.720000,1014,13.800000,160,1670685271,1670719866,75
1670667301,2022,12,10,03,15,01,49.480000,78,45.270000,1014,10.360000,150,1670685271,1670719866,100
1670670901,2022,12,10,04,15,01,50.020000,80,48.490000,1013,13.000000,158,1670685271,1670719866,100
1670674501,2022,12,10,05,15,01,49.960000,80,44.830000,1012,14.000000,161,1670685271,1670719866,100
1670678101,2022,12,10,06,15,01,49.260000,83,44.490000,1010,11.990000,121,1670685271,1670719866,100
1670681701,2022,12,10,07,15,01,49.860000,89,43.950000,1009,17.270000,140,1670685271,1670719866,100
1670685302,2022,12,10,08,15,02,51.730000,91,50.880000,1008,32.210000,180,1670685271,1670719866,75
1670688903,2022,12,10,09,15,03,53.510000,92,52.880000,1008,31.070000,190,1670685271,1670719866,75
1670692502,2022,12,10,10,15,02,54.250000,90,53.600000,1008,33.380000,200,1670685271,1670719866,75
1670696102,2022,12,10,11,15,02,54.190000,92,53.640000,1008,25.990000,90,1670685271,1670719866,100
1670699702,2022,12,10,12,15,02,53.870000,92,53.280000,1007,27.630000,190,1670685271,1670719866,100
1670703302,2022,12,10,13,15,02,53.470000,93,52.900000,1007,25.320000,230,1670685271,1670719866,100
1670706902,2022,12,10,14,15,02,52.860000,93,52.210000,1006,17.270000,230,1670685271,1670719866,100
1670710502,2022,12,10,15,15,02,52.860000,92,52.180000,1006,23.020000,240,1670685271,1670719866,100
1670714079,2022,12,10,16,14,39,52.950000,91,52.230000,1005,19.570000,240,1670685272,1670719865,100
1670717702,2022,12,10,17,15,02,52.520000,91,51.750000,1005,13.800000,230,1670685271,1670719866,100
1670721303,2022,12,10,18,15,03,51.690000,91,50.850000,1004,17.270000,250,1670685271,1670719866,100
1670724842,2022,12,10,19,14,02,50.560000,91,49.590000,1004,15.010000,135,1670685272,1670719865,75
1670728502,2022,12,10,20,15,02,50.140000,91,49.140000,1004,14.000000,135,1670685271,1670719866,99
1670732101,2022,12,10,21,15,01,49.460000,91,43.700000,1005,16.110000,230,1670685271,1670719866,100
1670735702,2022,12,10,22,15,02,48.330000,91,42.030000,1005,17.000000,158,1670685271,1670719866,100
1670739301,2022,12,10,23,15,01,47.950000,92,42.640000,1005,12.660000,230,1670685271,1670719866,100
1670742901,2022,12,11,00,15,01,47.970000,91,41.770000,1005,16.110000,240,1670685271,1670719866,75
1670746502,2022,12,11,01,15,02,45.610000,89,38.770000,1005,15.990000,90,1670771717,1670806274,100
1670750102,2022,12,11,02,15,02,45.370000,90,38.710000,1005,15.010000,158,1670771717,1670806274,75
1670753702,2022,12,11,03,15,02,44.670000,90,36.820000,1005,18.990000,158,1670771717,1670806274,100
1670757302,2022,12,11,04,15,02,43.470000,90,34.810000,1005,21.000000,158,1670771717,1670806274,100
1670760902,2022,12,11,05,15,02,43.140000,91,33.980000,1005,23.000000,158,1670771717,1670806274,100
1670764502,2022,12,11,06,15,02,42.800000,91,35.420000,1006,15.010000,158,1670771717,1670806274,100
1670768102,2022,12,11,07,15,02,42.640000,92,33.510000,1007,21.990000,203,1670771717,1670806274,100
1670771701,2022,12,11,08,15,01,42.600000,90,36.720000,1008,10.360000,290,1670771717,1670806274,75
