utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667602835,2022,11,04,17,00,35,67.460000,71,67.240000,1015,4.000000,164,1667563759,1667600543,100
1667606443,2022,11,04,18,00,43,66.690000,72,66.430000,1015,4.000000,159,1667563759,1667600543,100
1667610012,2022,11,04,19,00,12,66.000000,72,65.680000,1015,5.010000,178,1667563759,1667600543,100
1667613627,2022,11,04,20,00,27,65.350000,73,65.010000,1014,8.990000,213,1667563759,1667600543,100
1667617219,2022,11,04,21,00,19,64.760000,73,64.360000,1014,3.000000,167,1667563759,1667600543,100
1667620816,2022,11,04,22,00,16,63.990000,74,63.550000,1014,3.000000,142,1667650235,1667686872,100
1667624422,2022,11,04,23,00,22,62.830000,76,62.380000,1013,4.000000,196,1667650235,1667686872,100
1667628021,2022,11,05,00,00,21,62.460000,76,61.970000,1013,3.000000,242,1667650235,1667686872,100
1667631618,2022,11,05,01,00,18,61.880000,76,61.340000,1012,4.000000,170,1667650235,1667686872,100
1667635217,2022,11,05,02,00,17,60.780000,78,60.220000,1012,3.000000,211,1667650235,1667686872,100
1667638819,2022,11,05,03,00,19,60.030000,78,59.400000,1011,3.000000,215,1667650235,1667686872,100
1667642417,2022,11,05,04,00,17,59.490000,79,58.860000,1011,4.000000,173,1667650235,1667686872,100
1667646017,2022,11,05,05,00,17,60.300000,76,59.590000,1011,5.990000,204,1667650235,1667686872,100
1667649623,2022,11,05,06,00,23,60.620000,76,59.950000,1010,4.000000,151,1667650235,1667686872,100
1667653224,2022,11,05,07,00,24,61.120000,76,60.510000,1011,4.000000,211,1667650235,1667686872,100
1667656816,2022,11,05,08,00,16,62.740000,75,62.240000,1010,5.990000,192,1667650235,1667686872,100
1667660256,2022,11,05,08,57,36,64.540000,69,63.950000,1009,20.710000,180,1667650236,1667686872,75
1667664017,2022,11,05,10,00,17,66.880000,72,66.650000,1008,7.000000,198,1667650235,1667686872,100
1667667624,2022,11,05,11,00,24,69.130000,68,68.940000,1007,33.380000,190,1667650235,1667686872,20
1667671218,2022,11,05,12,00,18,68.610000,70,68.470000,1005,21.850000,190,1667650235,1667686872,75
1667674821,2022,11,05,13,00,21,69.210000,70,69.120000,1004,5.990000,162,1667650235,1667686872,100
1667678414,2022,11,05,14,00,14,71.420000,65,71.310000,1003,5.990000,185,1667650235,1667686872,100
1667682019,2022,11,05,15,00,19,71.870000,65,71.820000,1003,7.000000,161,1667650235,1667686872,100
1667685629,2022,11,05,16,00,29,71.670000,65,71.600000,1002,8.010000,185,1667650235,1667686872,100
1667689217,2022,11,05,17,00,17,69.940000,65,69.690000,1003,20.710000,190,1667650235,1667686872,100
1667692815,2022,11,05,18,00,15,68.020000,72,67.910000,1004,34.520000,220,1667650235,1667686872,100
1667696418,2022,11,05,19,00,18,67.800000,71,67.620000,1004,21.850000,200,1667650235,1667686872,100
1667700015,2022,11,05,20,00,15,67.320000,70,67.050000,1005,8.990000,198,1667650235,1667686872,100
1667703618,2022,11,05,21,00,18,64.890000,62,63.990000,1007,31.070000,240,1667650235,1667686872,75
1667707218,2022,11,05,22,00,18,60.640000,63,59.360000,1008,5.990000,168,1667736711,1667773202,95
1667710819,2022,11,05,23,00,19,57.720000,70,56.480000,1010,1.990000,219,1667736711,1667773202,78
1667718040,2022,11,06,01,00,40,53.690000,75,52.290000,1011,1.010000,144,1667736711,1667773202,0
1667721614,2022,11,06,01,00,14,51.670000,77,50.160000,1012,1.990000,178,1667736711,1667773202,5
1667725219,2022,11,06,02,00,19,49.840000,78,49.840000,1013,1.990000,185,1667736711,1667773202,37
1667728814,2022,11,06,03,00,14,48.540000,75,48.540000,1014,1.010000,236,1667736711,1667773202,50
1667732415,2022,11,06,04,00,15,47.480000,76,47.480000,1014,1.010000,156,1667736711,1667773202,60
1667736029,2022,11,06,05,00,29,46.720000,83,42.310000,1014,9.130000,216,1667736711,1667773202,67
1667739625,2022,11,06,06,00,25,47.570000,78,43.320000,1015,9.190000,213,1667736711,1667773202,100
1667743226,2022,11,06,07,00,26,50.490000,76,48.810000,1016,1.990000,170,1667736711,1667773202,75
1667746818,2022,11,06,08,00,18,54.520000,62,52.590000,1016,4.000000,184,1667736711,1667773202,83
1667750418,2022,11,06,09,00,18,57.420000,60,55.670000,1017,5.010000,160,1667736711,1667773202,86
1667754016,2022,11,06,10,00,16,59.430000,58,57.790000,1016,7.000000,178,1667736711,1667773202,82
1667757622,2022,11,06,11,00,22,61.300000,61,60.010000,1015,4.000000,247,1667736711,1667773202,85
