utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255101,2022,10,31,16,25,01,58.390000,92,58.240000,1015,7.000000,153,1667216046,1667253905
1667258446,2022,10,31,17,20,46,57.900000,93,57.760000,1016,7.000000,141,1667216046,1667253905
1667261359,2022,10,31,18,09,19,57.720000,94,57.610000,1016,5.990000,127,1667216046,1667253905
1667264434,2022,10,31,19,00,34,57.490000,94,57.360000,1017,5.990000,125,1667216046,1667253905
1667268028,2022,10,31,20,00,28,57.360000,95,57.270000,1017,7.000000,136,1667216046,1667253905
1667271618,2022,10,31,21,00,18,57.490000,95,57.400000,1017,5.990000,148,1667216046,1667253905,100
1667275217,2022,10,31,22,00,17,57.510000,95,57.420000,1016,7.000000,134,1667302515,1667340234,100
1667278817,2022,10,31,23,00,17,57.600000,96,57.560000,1015,5.990000,146,1667302515,1667340234,100
1667282416,2022,11,01,00,00,16,57.720000,96,57.700000,1015,5.990000,161,1667302515,1667340234,100
1667286015,2022,11,01,01,00,15,57.790000,96,57.790000,1016,3.000000,145,1667302515,1667340234,100
1667289615,2022,11,01,02,00,15,57.870000,96,57.870000,1015,1.990000,195,1667302515,1667340234,100
1667293214,2022,11,01,03,00,14,58.050000,96,58.060000,1015,1.990000,240,1667302515,1667340234,100
1667296825,2022,11,01,04,00,25,57.870000,96,57.870000,1016,4.000000,271,1667302515,1667340234,100
1667300446,2022,11,01,05,00,46,57.740000,96,57.720000,1016,8.010000,271,1667302515,1667340234,100
1667304030,2022,11,01,06,00,30,57.220000,96,57.150000,1016,7.000000,286,1667302515,1667340234,100
1667307618,2022,11,01,07,00,18,57.180000,96,57.110000,1018,5.990000,283,1667302515,1667340234,100
1667311229,2022,11,01,08,00,29,58.050000,96,58.060000,1017,5.010000,302,1667302515,1667340234,88
1667314846,2022,11,01,09,00,46,59.580000,95,59.700000,1018,7.000000,250,1667302515,1667340234,63
1667318434,2022,11,01,10,00,34,63.480000,88,63.660000,1019,5.010000,294,1667302515,1667340234,72
1667322027,2022,11,01,11,00,27,65.660000,81,65.730000,1018,8.010000,292,1667302515,1667340234,74
1667325633,2022,11,01,12,00,33,67.210000,75,67.150000,1018,13.000000,325,1667302515,1667340234,73
1667329223,2022,11,01,13,00,23,67.890000,71,67.710000,1017,10.360000,320,1667302515,1667340234,75
1667332816,2022,11,01,14,00,16,68.200000,70,68.000000,1018,11.990000,299,1667302515,1667340234,86
1667336413,2022,11,01,15,00,13,67.800000,69,67.530000,1019,13.000000,315,1667302515,1667340234,72
1667340014,2022,11,01,16,00,14,64.360000,78,64.170000,1018,8.990000,304,1667302515,1667340234,63
1667343625,2022,11,01,17,00,25,61.390000,82,61.090000,1018,10.000000,309,1667302515,1667340234,62
1667347235,2022,11,01,18,00,35,59.580000,85,59.230000,1019,11.990000,294,1667302515,1667340234,60
1667350821,2022,11,01,19,00,21,58.530000,85,58.080000,1018,11.990000,294,1667302515,1667340234,1
1667354423,2022,11,01,20,00,23,57.700000,86,57.220000,1019,8.010000,277,1667302515,1667340234,7
1667358020,2022,11,01,21,00,20,56.640000,88,56.140000,1020,8.990000,292,1667302515,1667340234,11
1667361615,2022,11,01,22,00,15,56.530000,88,56.030000,1021,5.990000,275,1667388985,1667426564,9
