utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255100,2022,10,31,16,25,00,62.060000,1,58.010000,1011,9.260000,241,1667217508,1667255307
1667258446,2022,10,31,17,20,46,60.490000,46,58.410000,1013,4.610000,200,1667217508,1667255307
1667261358,2022,10,31,18,09,18,59.590000,46,57.420000,1013,3.440000,200,1667217508,1667255307
1667264433,2022,10,31,19,00,33,59.070000,88,58.820000,1013,5.750000,210,1667217508,1667255307
1667268027,2022,10,31,20,00,27,59.130000,50,57.090000,1014,4.610000,200,1667217508,1667255307
1667271617,2022,10,31,21,00,17,58.370000,53,56.390000,1014,9.220000,220,1667217508,1667255307,75
1667275216,2022,10,31,22,00,16,57.870000,1,53.400000,1013,9.400000,233,1667303978,1667341635,100
1667278816,2022,10,31,23,00,16,57.000000,57,55.080000,1015,3.440000,220,1667303978,1667341635,100
1667282416,2022,11,01,00,00,16,56.730000,57,54.790000,1015,6.910000,230,1667303978,1667341635,75
1667286014,2022,11,01,01,00,14,56.800000,57,54.860000,1016,5.750000,220,1667303978,1667341635,100
1667289615,2022,11,01,02,00,15,56.750000,57,54.810000,1016,4.610000,240,1667303978,1667341635,100
1667293213,2022,11,01,03,00,13,56.480000,57,54.500000,1016,4.610000,230,1667303978,1667341635,100
1667296823,2022,11,01,04,00,23,56.300000,57,54.300000,1017,3.440000,230,1667303978,1667341635,100
1667300445,2022,11,01,05,00,45,55.470000,57,53.400000,1017,5.750000,250,1667303978,1667341635,100
1667304028,2022,11,01,06,00,28,55.890000,94,55.600000,1018,5.750000,250,1667303978,1667341635,100
1667307617,2022,11,01,07,00,17,56.120000,53,53.920000,1019,5.750000,250,1667303978,1667341635,100
1667311228,2022,11,01,08,00,28,56.340000,53,54.160000,1020,8.050000,250,1667303978,1667341635,100
1667314846,2022,11,01,09,00,46,57.000000,53,54.900000,1021,10.360000,260,1667303978,1667341635,75
1667318434,2022,11,01,10,00,34,58.300000,50,56.170000,1022,6.910000,260,1667303978,1667341635,100
1667322025,2022,11,01,11,00,25,59.650000,46,57.470000,1022,9.220000,270,1667303978,1667341635,100
1667325632,2022,11,01,12,00,32,60.120000,46,57.990000,1022,8.050000,260,1667303978,1667341635,100
1667329223,2022,11,01,13,00,23,60.530000,44,58.350000,1022,8.050000,260,1667303978,1667341635,100
1667332815,2022,11,01,14,00,15,60.220000,46,58.100000,1022,3.440000,290,1667303978,1667341635,100
1667336413,2022,11,01,15,00,13,61.430000,1,57.330000,1020,4.520000,289,1667303978,1667341635,95
1667340013,2022,11,01,16,00,13,60.210000,46,58.080000,1023,3.440000,220,1667303978,1667341635,100
1667343621,2022,11,01,17,00,21,57.110000,46,54.680000,1024,0.000000,0,1667303978,1667341635,40
1667347234,2022,11,01,18,00,34,54.700000,50,52.210000,1024,0.000000,0,1667303978,1667341635,0
1667350820,2022,11,01,19,00,20,53.980000,94,53.490000,1025,0.000000,0,1667303978,1667341635,0
1667354421,2022,11,01,20,00,21,50.650000,57,48.090000,1025,0.000000,0,1667303978,1667341635,0
1667358019,2022,11,01,21,00,19,50.430000,57,47.860000,1025,3.440000,220,1667303978,1667341635,0
1667361614,2022,11,01,22,00,14,49.590000,57,48.830000,1026,3.440000,220,1667390448,1667427964,100
