utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255100,2022,10,31,16,25,00,64.130000,81,64.060000,1009,1.990000,218,1667217330,1667254845
1667258445,2022,10,31,17,20,45,63.160000,83,63.070000,1009,1.990000,189,1667217330,1667254845
1667261358,2022,10,31,18,09,18,62.170000,82,61.930000,1010,3.000000,215,1667217330,1667254845
1667264432,2022,10,31,19,00,32,61.110000,84,60.870000,1010,1.010000,190,1667217330,1667254845
1667268026,2022,10,31,20,00,26,60.100000,86,59.850000,1010,1.990000,194,1667217330,1667254845
1667271617,2022,10,31,21,00,17,59.900000,86,59.630000,1010,1.010000,195,1667217330,1667254845,99
1667275215,2022,10,31,22,00,15,59.830000,87,59.590000,1011,1.990000,187,1667303803,1667341169,100
1667278816,2022,10,31,23,00,16,59.450000,88,59.230000,1011,6.020000,199,1667303803,1667341169,100
1667282415,2022,11,01,00,00,15,59.040000,89,58.820000,1011,7.740000,209,1667303803,1667341169,100
1667286013,2022,11,01,01,00,13,58.330000,92,58.190000,1012,9.130000,231,1667303803,1667341169,99
1667289614,2022,11,01,02,00,14,58.060000,94,57.990000,1012,1.990000,243,1667303803,1667341169,99
1667293213,2022,11,01,03,00,13,58.150000,94,58.080000,1014,10.690000,240,1667303803,1667341169,99
1667296823,2022,11,01,04,00,23,58.210000,95,58.190000,1012,3.000000,232,1667303803,1667341169,99
1667300444,2022,11,01,05,00,44,57.790000,96,57.790000,1013,1.010000,247,1667303803,1667341169,98
1667304028,2022,11,01,06,00,28,57.810000,94,57.700000,1014,1.990000,297,1667303803,1667341169,99
1667307616,2022,11,01,07,00,16,56.800000,95,56.640000,1014,3.000000,294,1667303803,1667341169,100
1667311221,2022,11,01,08,00,21,57.020000,96,56.930000,1016,5.010000,282,1667303803,1667341169,100
1667314845,2022,11,01,09,00,45,57.160000,96,57.090000,1016,1.990000,289,1667303803,1667341169,100
1667318433,2022,11,01,10,00,33,56.980000,97,56.950000,1018,3.000000,286,1667303803,1667341169,100
1667322024,2022,11,01,11,00,24,57.110000,97,57.070000,1018,1.990000,299,1667303803,1667341169,99
1667325632,2022,11,01,12,00,32,57.450000,96,57.420000,1018,4.000000,252,1667303803,1667341169,93
1667329222,2022,11,01,13,00,22,57.610000,96,57.600000,1018,4.000000,313,1667303803,1667341169,29
1667332813,2022,11,01,14,00,13,58.660000,91,58.500000,1018,5.010000,292,1667303803,1667341169,21
1667336412,2022,11,01,15,00,12,59.270000,89,59.070000,1019,1.990000,312,1667303803,1667341169,14
1667340012,2022,11,01,16,00,12,58.050000,90,57.780000,1019,5.010000,268,1667303803,1667341169,11
1667343617,2022,11,01,17,00,17,55.630000,92,55.220000,1022,6.670000,241,1667303803,1667341169,9
1667347234,2022,11,01,18,00,34,53.400000,95,52.920000,1021,5.930000,239,1667303803,1667341169,7
1667350819,2022,11,01,19,00,19,51.490000,95,50.810000,1021,1.010000,227,1667303803,1667341169,0
1667354420,2022,11,01,20,00,20,50.790000,95,50.040000,1022,1.010000,223,1667303803,1667341169,0
1667358018,2022,11,01,21,00,18,49.080000,95,49.080000,1022,1.010000,223,1667303803,1667341169,0
1667361613,2022,11,01,22,00,13,48.520000,96,46.560000,1022,4.880000,223,1667390277,1667427495,0
1667365216,2022,11,01,23,00,16,48.990000,98,47.320000,1025,4.540000,222,1667390277,1667427495,0
1667368813,2022,11,02,00,00,13,47.880000,99,46.470000,1025,3.940000,219,1667390277,1667427495,0
1667372419,2022,11,02,01,00,19,47.210000,97,47.210000,1023,1.010000,223,1667390277,1667427495,0
