utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1667255104,2022,10,31,16,25,04,65.790000,84,66.020000,1016,3.440000,150,1667216029,1667254383
1667258449,2022,10,31,17,20,49,64.290000,87,64.510000,1016,6.910000,130,1667216029,1667254383
1667261362,2022,10,31,18,09,22,64.220000,86,64.380000,1017,10.360000,150,1667216029,1667254383
1667264437,2022,10,31,19,00,37,62.690000,90,62.890000,1016,3.130000,152,1667216029,1667254383
1667268031,2022,10,31,20,00,31,62.780000,90,63.000000,1016,1.010000,214,1667216029,1667254383
1667271621,2022,10,31,21,00,21,62.890000,91,63.160000,1017,8.050000,180,1667216029,1667254383,100
1667275221,2022,10,31,22,00,21,62.640000,93,62.980000,1016,5.750000,170,1667302492,1667340717,100
1667278820,2022,10,31,23,00,20,62.580000,94,62.960000,1017,1.990000,214,1667302492,1667340717,100
1667282420,2022,11,01,00,00,20,62.740000,94,63.140000,1017,6.910000,240,1667302492,1667340717,100
1667286018,2022,11,01,01,00,18,62.550000,94,62.920000,1016,1.990000,215,1667302492,1667340717,100
1667289619,2022,11,01,02,00,19,62.420000,94,62.780000,1017,3.000000,258,1667302492,1667340717,100
1667293217,2022,11,01,03,00,17,62.220000,94,62.560000,1017,3.440000,220,1667302492,1667340717,100
1667296829,2022,11,01,04,00,29,61.860000,94,62.170000,1017,5.750000,250,1667302492,1667340717,100
1667300448,2022,11,01,05,00,48,60.940000,94,61.160000,1017,4.610000,240,1667302492,1667340717,75
1667304035,2022,11,01,06,00,35,60.100000,95,60.280000,1018,1.990000,262,1667302492,1667340717,75
1667307620,2022,11,01,07,00,20,61.140000,95,61.430000,1018,6.910000,300,1667302492,1667340717,100
1667311234,2022,11,01,08,00,34,63.070000,92,63.390000,1019,5.750000,270,1667302492,1667340717,75
1667314851,2022,11,01,09,00,51,66.160000,85,66.470000,1019,6.910000,290,1667302492,1667340717,40
1667317908,2022,11,01,09,51,48,69.170000,76,69.370000,1019,6.910000,290,1667302491,1667340717,0
1667321641,2022,11,01,10,54,01,72.730000,63,72.660000,1019,5.990000,351,1667302491,1667340717,15
1667325637,2022,11,01,12,00,37,75.290000,55,75.110000,1018,10.360000,310,1667302492,1667340717,20
1667329235,2022,11,01,13,00,35,75.650000,54,75.450000,1018,10.360000,290,1667302492,1667340717,40
1667332820,2022,11,01,14,00,20,75.270000,53,74.980000,1018,5.990000,296,1667302492,1667340717,0
1667336416,2022,11,01,15,00,16,74.280000,55,73.990000,1018,3.000000,335,1667302492,1667340717,2
1667339881,2022,11,01,15,58,01,70.770000,62,70.470000,1016,3.110000,309,1667302491,1667340717,2
1667343632,2022,11,01,17,00,32,64.900000,74,64.580000,1018,0.000000,0,1667302492,1667340717,40
1667347238,2022,11,01,18,00,38,62.400000,78,62.010000,1021,8.050000,10,1667302492,1667340717,40
