utc-sec,year,month,day,hour,minute,seconds,temperature,humidity,feels-like,atm-pres,wind-spd,wind-dir,sunset-time,sunrise-time,cloud-perc
1668605495,2022,11,16,06,31,35,38.080000,95,33.660000,1032,5.750000,10,1668603457,1668641370,75
1668607222,2022,11,16,07,00,22,39.360000,94,34.860000,1032,6.220000,22,1668603457,1668641370,98
1668610827,2022,11,16,08,00,27,41.630000,90,38.700000,1033,4.610000,20,1668603457,1668641370,75
1668614417,2022,11,16,09,00,17,44.350000,81,41.860000,1033,4.610000,10,1668603457,1668641370,0
1668618033,2022,11,16,10,00,33,46.310000,76,46.310000,1032,1.990000,38,1668603457,1668641370,99
1668621627,2022,11,16,11,00,27,47.520000,70,47.520000,1032,1.990000,10,1668603457,1668641370,95
1668625221,2022,11,16,12,00,21,50.000000,59,50.000000,1032,1.990000,10,1668603457,1668641370,40
1668628812,2022,11,16,13,00,12,51.890000,54,49.320000,1030,3.000000,9,1668603457,1668641370,39
1668632423,2022,11,16,14,00,23,52.470000,51,49.800000,1030,3.000000,27,1668603457,1668641370,44
1668636020,2022,11,16,15,00,20,53.400000,52,50.880000,1030,10.650000,29,1668603457,1668641370,46
1668639614,2022,11,16,16,00,14,52.770000,51,50.140000,1031,5.750000,360,1668603457,1668641370,0
1668643175,2022,11,16,16,59,35,50.430000,57,47.860000,1031,5.750000,320,1668603457,1668641370,40
1668646831,2022,11,16,18,00,31,46.290000,76,43.390000,1031,5.750000,320,1668603457,1668641370,0
1668650427,2022,11,16,19,00,27,44.960000,80,41.810000,1031,5.750000,320,1668603457,1668641370,20
1668654015,2022,11,16,20,00,15,46.080000,80,43.140000,1032,5.750000,320,1668603457,1668641370,75
1668657614,2022,11,16,21,00,14,45.360000,84,45.360000,1032,2.910000,31,1668603457,1668641370,84
1668661234,2022,11,16,22,00,34,45.430000,83,45.430000,1032,0.000000,0,1668603457,1668641370,75
1668664818,2022,11,16,23,00,18,45.750000,83,44.190000,1032,3.740000,11,1668689910,1668727741,89
1668668415,2022,11,17,00,00,15,45.010000,85,42.640000,1032,4.610000,250,1668689910,1668727741,100
1668672015,2022,11,17,01,00,15,44.490000,85,44.490000,1031,0.000000,0,1668689910,1668727741,40
1668675618,2022,11,17,02,00,18,43.700000,85,40.960000,1031,4.810000,1,1668689910,1668727741,96
1668679223,2022,11,17,03,00,23,41.540000,87,38.800000,1031,4.340000,359,1668689910,1668727741,96
1668682841,2022,11,17,04,00,41,40.870000,87,38.890000,1031,3.420000,356,1668689910,1668727741,95
1668686434,2022,11,17,05,00,34,39.900000,87,37.420000,1031,3.780000,343,1668689910,1668727741,93
1668693641,2022,11,17,07,00,41,38.800000,96,35.380000,1032,4.610000,20,1668689910,1668727741,0
1668696991,2022,11,17,07,56,31,44.420000,88,42.220000,1032,4.250000,14,1668689910,1668727741,37
1668700829,2022,11,17,09,00,29,49.420000,72,48.630000,1032,3.440000,340,1668689910,1668727741,20
1668704415,2022,11,17,10,00,15,54.970000,54,52.700000,1031,4.610000,350,1668689910,1668727741,0
1668708015,2022,11,17,11,00,15,57.920000,44,55.470000,1029,1.010000,231,1668689910,1668727741,33
1668711636,2022,11,17,12,00,36,59.790000,41,57.400000,1028,1.010000,335,1668689910,1668727741,0
1668715210,2022,11,17,13,00,10,59.830000,37,57.250000,1027,1.990000,357,1668689910,1668727741,0
1668718822,2022,11,17,14,00,22,60.570000,37,58.060000,1027,1.010000,263,1668689910,1668727741,0
1668722372,2022,11,17,14,59,32,60.640000,37,58.140000,1026,0.000000,0,1668689910,1668727741,0
1668725584,2022,11,17,15,53,04,57.970000,40,55.350000,1026,3.000000,196,1668689910,1668727741,0
1668729629,2022,11,17,17,00,29,53.060000,53,50.560000,1026,0.000000,0,1668689910,1668727741,0
1668733213,2022,11,17,18,00,13,48.900000,61,48.900000,1026,0.000000,0,1668689910,1668727741,0
1668736813,2022,11,17,19,00,13,47.230000,65,47.230000,1027,0.000000,0,1668689910,1668727741,0
1668740414,2022,11,17,20,00,14,45.880000,69,45.880000,1027,1.010000,228,1668689910,1668727741,0
1668744013,2022,11,17,21,00,13,45.160000,71,45.160000,1027,1.010000,213,1668689910,1668727741,0
1668747618,2022,11,17,22,00,18,43.500000,76,43.500000,1027,0.000000,0,1668689910,1668727741,0
1668751218,2022,11,17,23,00,18,40.820000,79,35.830000,1026,7.520000,167,1668776363,1668814114,0
1668754817,2022,11,18,00,00,17,40.770000,81,35.820000,1026,7.430000,172,1668776363,1668814114,0
1668758415,2022,11,18,01,00,15,40.440000,82,35.470000,1026,7.340000,179,1668776363,1668814114,1
1668762017,2022,11,18,02,00,17,40.620000,83,35.830000,1025,7.090000,184,1668776363,1668814114,24
1668765616,2022,11,18,03,00,16,40.730000,83,36.280000,1025,6.550000,187,1668776363,1668814114,42
1668769228,2022,11,18,04,00,28,39.450000,88,35.190000,1026,5.880000,186,1668776363,1668814114,54
1668772832,2022,11,18,05,00,32,39.790000,88,36.360000,1026,4.830000,178,1668776363,1668814114,55
1668776443,2022,11,18,06,00,43,41.200000,89,39.130000,1026,3.560000,183,1668776363,1668814114,100
1668780021,2022,11,18,07,00,21,42.400000,93,42.400000,1027,0.000000,0,1668776363,1668814114,100
1668783623,2022,11,18,08,00,23,46.200000,86,46.200000,1027,1.010000,32,1668776363,1668814114,100
1668787214,2022,11,18,09,00,14,50.320000,75,48.580000,1028,6.910000,10,1668776363,1668814114,100
1668790822,2022,11,18,10,00,22,51.210000,69,49.260000,1028,1.990000,28,1668776363,1668814114,75
1668794422,2022,11,18,11,00,22,52.750000,64,50.740000,1027,3.000000,26,1668776363,1668814114,75
1668797771,2022,11,18,11,56,11,54.300000,58,52.160000,1027,0.000000,0,1668776363,1668814114,100
1668801621,2022,11,18,13,00,21,55.200000,55,53.010000,1025,1.990000,30,1668776363,1668814114,100
1668805228,2022,11,18,14,00,28,55.200000,54,52.950000,1026,0.000000,0,1668776363,1668814114,100
1668808812,2022,11,18,15,00,12,55.440000,55,53.260000,1025,1.990000,22,1668776363,1668814114,100
1668812421,2022,11,18,16,00,21,53.490000,61,51.400000,1024,1.990000,27,1668776363,1668814114,100
